global_step,epoch,train/loss,train/accept_len,train/accept_rate
832,0,0.898,1.224,0.122
833,0,0.969,1.267,0.156
834,0,0.867,1.567,0.273
835,0,0.828,1.732,0.284
836,0,0.945,1.281,0.159
837,0,0.945,1.437,0.199
838,0,0.871,1.57,0.246
839,0,0.906,1.52,0.233
840,0,0.867,1.562,0.235
841,0,0.711,2.198,0.399
842,0,0.812,1.816,0.318
843,0,0.883,1.482,0.231
844,0,0.773,1.981,0.38
845,0,0.984,1.258,0.141
846,0,0.926,1.381,0.193
847,0,0.836,1.634,0.289
848,0,0.828,1.729,0.28
849,0,0.938,1.47,0.22
850,0,0.75,1.961,0.371
851,0,0.867,1.78,0.336
852,0,0.875,1.635,0.263
853,0,0.93,1.489,0.243
854,0,0.941,1.297,0.171
855,0,0.898,1.247,0.134
856,0,0.891,1.516,0.221
857,0,0.93,1.372,0.205
858,0,0.891,1.524,0.232
859,0,0.906,1.467,0.234
860,0,0.828,1.895,0.354
861,0,0.844,1.75,0.305
862,0,0.832,1.812,0.33
863,0,0.867,1.603,0.233
