t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039999.0521,collate,3,0,29665,,,,,,133.344,133.095,,7.0,1.0,,,,,
1789040002.0778,collate,3,0,29665,,,,,,50.795,50.731,,9.0,1.0,,,,,
1789040004.1909,collate,3,0,29665,,,,,,24.437,24.385,,5.0,1.0,,,,,
1789040007.1213,collate,3,0,29665,,,,,,81.567,81.444,,7.0,1.0,,,,,
1789040009.5004,collate,3,0,29665,,,,,,78.776,78.658,,5.0,1.0,,,,,
1789040012.324,collate,3,0,29665,,,,,,259.718,259.294,,7.0,1.0,,,,,
1789040014.8304,collate,3,0,29665,,,,,,47.932,47.866,,6.0,1.0,,,,,
1789040016.6895,collate,3,0,29665,,,,,,54.232,54.147,,4.0,1.0,,,,,
1789040018.893,collate,3,0,29665,,,,,,71.149,71.007,,6.0,1.0,,,,,
1789040021.0821,collate,3,0,29665,,,,,,63.232,63.152,,5.0,1.0,,,,,
1789040023.537,collate,3,0,29665,,,,,,46.097,46.035,,6.0,1.0,,,,,
1789040026.1086,collate,3,0,29665,,,,,,38.11,38.039,,7.0,1.0,,,,,
1789040028.6883,collate,3,0,29665,,,,,,66.201,66.097,,6.0,1.0,,,,,
1789040031.3129,collate,3,0,29665,,,,,,82.811,82.58,,6.0,1.0,,,,,
1789040033.8501,collate,3,0,29665,,,,,,71.55,68.168,,6.0,1.0,,,,,
1789040036.6473,collate,3,0,29665,,,,,,233.844,233.321,,7.0,1.0,,,,,
1789040038.6322,collate,3,0,29665,,,,,,64.575,64.486,,5.0,1.0,,,,,
1789040041.0005,collate,3,0,29665,,,,,,47.949,47.836,,6.0,1.0,,,,,
1789040043.2313,collate,3,0,29665,,,,,,46.904,46.839,,5.0,1.0,,,,,
1789040045.8109,collate,3,0,29665,,,,,,67.94,67.806,,6.0,1.0,,,,,
1789040048.1502,collate,3,0,29665,,,,,,71.802,71.637,,6.0,1.0,,,,,
1789040050.1695,collate,3,0,29665,,,,,,37.876,37.818,,5.0,1.0,,,,,
1789040052.6559,collate,3,0,29665,,,,,,83.243,83.101,,6.0,1.0,,,,,
1789040054.6924,collate,3,0,29665,,,,,,44.696,44.658,,6.0,1.0,,,,,
1789040056.9233,collate,3,0,29665,,,,,,72.929,72.79,,5.0,1.0,,,,,
1789040059.0451,collate,3,0,29665,,,,,,75.82,75.713,,5.0,1.0,,,,,
1789040061.2464,collate,3,0,29665,,,,,,35.938,35.859,,6.0,1.0,,,,,
1789040063.7969,collate,3,0,29665,,,,,,108.244,108.037,,6.0,1.0,,,,,
1789040066.51,collate,3,0,29665,,,,,,162.945,162.51,,6.0,1.0,,,,,
1789040068.7864,collate,3,0,29665,,,,,,175.341,174.901,,5.0,1.0,,,,,
1789040071.2791,collate,3,0,29665,,,,,,59.562,59.409,,6.0,1.0,,,,,
1789040073.4112,collate,3,0,29665,,,,,,69.482,69.358,,4.0,1.0,,,,,
1789040075.9837,collate,3,0,29665,,,,,,25.857,25.823,,5.0,1.0,,,,,
1789040077.3647,collate,3,0,29665,,,,,,92.543,92.398,,3.0,1.0,,,,,
1789040079.4307,collate,3,0,29665,,,,,,61.91,61.829,,4.0,1.0,,,,,
1789040081.5475,collate,3,0,29665,,,,,,92.549,92.299,,5.0,1.0,,,,,
1789040083.7098,collate,3,0,29665,,,,,,108.6,108.44,,5.0,1.0,,,,,
1789040087.043,collate,3,0,29665,,,,,,31.396,31.338,,9.0,1.0,,,,,
1789040089.2457,collate,3,0,29665,,,,,,50.29,50.138,,5.0,1.0,,,,,
1789040091.5776,collate,3,0,29665,,,,,,56.644,56.517,,6.0,1.0,,,,,
1789040092.9663,collate,3,0,29665,,,,,,44.714,44.603,,2.0,1.0,,,,,
1789040095.6184,collate,3,0,29665,,,,,,171.227,170.824,,6.0,1.0,,,,,
1789040098.3802,collate,3,0,29665,,,,,,28.808,28.744,,7.0,1.0,,,,,
1789040100.5901,collate,3,0,29665,,,,,,49.166,49.058,,5.0,1.0,,,,,
1789040102.8737,collate,3,0,29665,,,,,,42.699,42.611,,6.0,1.0,,,,,
1789040105.6048,collate,3,0,29665,,,,,,50.66,50.519,,7.0,1.0,,,,,
1789040107.657,collate,3,0,29665,,,,,,37.902,37.813,,5.0,1.0,,,,,
1789040109.724,collate,3,0,29665,,,,,,25.125,25.087,,5.0,1.0,,,,,
1789040112.0341,collate,3,0,29665,,,,,,49.149,49.082,,6.0,1.0,,,,,
1789040114.7307,collate,3,0,29665,,,,,,58.172,58.079,,7.0,1.0,,,,,
1789040117.1159,collate,3,0,29665,,,,,,74.523,74.356,,5.0,1.0,,,,,
1789040119.9129,collate,3,0,29665,,,,,,47.448,47.36,,8.0,1.0,,,,,
1789040122.9105,collate,3,0,29665,,,,,,30.433,30.393,,8.0,1.0,,,,,
1789040125.1003,collate,3,0,29665,,,,,,49.876,49.797,,6.0,1.0,,,,,
1789040127.5346,collate,3,0,29665,,,,,,52.711,52.619,,7.0,1.0,,,,,
1789040130.0237,collate,3,0,29665,,,,,,48.434,48.353,,6.0,1.0,,,,,
1789040132.1188,collate,3,0,29665,,,,,,29.719,29.664,,5.0,1.0,,,,,
1789040134.4183,collate,3,0,29665,,,,,,40.939,40.875,,6.0,1.0,,,,,
1789040136.9021,collate,3,0,29665,,,,,,82.276,82.003,,6.0,1.0,,,,,
1789040138.6749,collate,3,0,29665,,,,,,45.471,45.395,,4.0,1.0,,,,,
1789040140.894,collate,3,0,29665,,,,,,48.278,48.174,,6.0,1.0,,,,,
1789040142.8721,collate,3,0,29665,,,,,,27.757,27.713,,5.0,1.0,,,,,
1789040145.3304,collate,3,0,29665,,,,,,27.134,27.079,,7.0,1.0,,,,,
1789040147.7677,collate,3,0,29665,,,,,,58.898,58.809,,6.0,1.0,,,,,
1789040150.4579,collate,3,0,29665,,,,,,44.738,44.646,,7.0,1.0,,,,,
1789040153.1729,collate,3,0,29665,,,,,,53.505,53.42,,7.0,1.0,,,,,
1789040155.3585,collate,3,0,29665,,,,,,24.471,24.439,,6.0,1.0,,,,,
1789040157.9838,collate,3,0,29665,,,,,,55.84,55.717,,7.0,1.0,,,,,
1789040160.107,collate,3,0,29665,,,,,,48.847,48.789,,5.0,1.0,,,,,
1789040162.4101,collate,3,0,29665,,,,,,208.615,208.222,,5.0,1.0,,,,,
1789040164.7218,collate,3,0,29665,,,,,,59.562,59.462,,6.0,1.0,,,,,
1789040166.9244,collate,3,0,29665,,,,,,21.231,21.185,,5.0,1.0,,,,,
1789040169.5059,collate,3,0,29665,,,,,,27.421,27.22,,7.0,1.0,,,,,
1789040172.2085,collate,3,0,29665,,,,,,51.787,51.702,,7.0,1.0,,,,,
1789040174.5647,collate,3,0,29665,,,,,,40.637,40.561,,5.0,1.0,,,,,
1789040177.2188,collate,3,0,29665,,,,,,84.87,84.732,,7.0,1.0,,,,,
1789040179.3091,collate,3,0,29665,,,,,,43.381,43.306,,5.0,1.0,,,,,
1789040181.5376,collate,3,0,29665,,,,,,28.324,28.211,,5.0,1.0,,,,,
1789040183.6784,collate,3,0,29665,,,,,,47.313,47.229,,5.0,1.0,,,,,
1789040185.4969,collate,3,0,29665,,,,,,56.475,56.379,,4.0,1.0,,,,,
1789040187.2743,collate,3,0,29665,,,,,,45.632,45.578,,4.0,1.0,,,,,
1789040190.4621,collate,3,0,29665,,,,,,22.133,22.089,,8.0,1.0,,,,,
1789040192.1449,collate,3,0,29665,,,,,,23.784,23.755,,3.0,1.0,,,,,
1789040194.6902,collate,3,0,29665,,,,,,47.548,47.473,,5.0,1.0,,,,,
1789040197.1213,collate,3,0,29665,,,,,,53.327,53.238,,6.0,1.0,,,,,
1789040199.7854,collate,3,0,29665,,,,,,47.242,47.166,,7.0,1.0,,,,,
1789040201.8868,collate,3,0,29665,,,,,,23.596,23.562,,6.0,1.0,,,,,
1789040204.4022,collate,3,0,29665,,,,,,27.843,27.797,,7.0,1.0,,,,,
1789040206.6863,collate,3,0,29665,,,,,,47.627,47.543,,5.0,1.0,,,,,
1789040209.2735,collate,3,0,29665,,,,,,58.694,58.542,,7.0,1.0,,,,,
1789040212.2221,collate,3,0,29665,,,,,,57.056,56.409,,8.0,1.0,,,,,
1789040214.4559,collate,3,0,29665,,,,,,36.492,36.439,,6.0,1.0,,,,,
1789040216.7402,collate,3,0,29665,,,,,,36.333,36.258,,6.0,1.0,,,,,
1789040219.0664,collate,3,0,29665,,,,,,49.172,49.07,,5.0,1.0,,,,,
1789040221.4644,collate,3,0,29665,,,,,,24.703,24.652,,6.0,1.0,,,,,
1789040224.3123,collate,3,0,29665,,,,,,28.696,28.629,,7.0,1.0,,,,,
1789040226.7792,collate,3,0,29665,,,,,,53.132,53.061,,6.0,1.0,,,,,
1789040229.1144,collate,3,0,29665,,,,,,44.246,44.177,,6.0,1.0,,,,,
1789040231.3078,collate,3,0,29665,,,,,,50.115,49.926,,5.0,1.0,,,,,
1789040233.6164,collate,3,0,29665,,,,,,43.522,43.452,,6.0,1.0,,,,,
1789040236.0402,collate,3,0,29665,,,,,,45.891,45.801,,6.0,1.0,,,,,
1789040238.7763,collate,3,0,29665,,,,,,37.194,37.117,,7.0,1.0,,,,,
1789040240.9892,collate,3,0,29665,,,,,,24.518,24.495,,5.0,1.0,,,,,
1789040243.76,collate,3,0,29665,,,,,,46.775,46.701,,7.0,1.0,,,,,
1789040246.6862,collate,3,0,29665,,,,,,43.562,43.492,,7.0,1.0,,,,,
1789040248.8242,collate,3,0,29665,,,,,,47.217,47.136,,5.0,1.0,,,,,
1789040251.0489,collate,3,0,29665,,,,,,36.729,36.662,,5.0,1.0,,,,,
1789040253.6591,collate,3,0,29665,,,,,,25.052,25.025,,6.0,1.0,,,,,
1789040256.2202,collate,3,0,29665,,,,,,48.781,48.626,,7.0,1.0,,,,,
1789040257.928,collate,3,0,29665,,,,,,30.102,30.06,,4.0,1.0,,,,,
1789040260.6296,collate,3,0,29665,,,,,,57.386,57.253,,6.0,1.0,,,,,
1789040263.1894,collate,3,0,29665,,,,,,25.919,25.866,,7.0,1.0,,,,,
1789040265.6635,collate,3,0,29665,,,,,,37.512,37.428,,5.0,1.0,,,,,
1789040268.532,collate,3,0,29665,,,,,,49.061,48.989,,7.0,1.0,,,,,
1789040270.3686,collate,3,0,29665,,,,,,24.344,24.309,,4.0,1.0,,,,,
1789040273.1353,collate,3,0,29665,,,,,,25.774,25.725,,7.0,1.0,,,,,
1789040275.9633,collate,3,0,29665,,,,,,51.543,51.372,,7.0,1.0,,,,,
1789040278.3019,collate,3,0,29665,,,,,,48.11,48.016,,5.0,1.0,,,,,
1789040280.0441,collate,3,0,29665,,,,,,49.735,49.649,,4.0,1.0,,,,,
1789040282.3347,collate,3,0,29665,,,,,,21.024,20.997,,5.0,1.0,,,,,
1789040284.5707,collate,3,0,29665,,,,,,34.699,34.639,,5.0,1.0,,,,,
1789040287.3714,collate,3,0,29665,,,,,,70.61,70.497,,8.0,1.0,,,,,
1789040289.9918,collate,3,0,29665,,,,,,52.519,52.437,,7.0,1.0,,,,,
1789040292.0923,collate,3,0,29665,,,,,,35.114,35.036,,5.0,1.0,,,,,
1789040294.257,collate,3,0,29665,,,,,,47.261,47.138,,5.0,1.0,,,,,
1789040296.9423,collate,3,0,29665,,,,,,32.224,32.156,,7.0,1.0,,,,,
1789040299.2522,collate,3,0,29665,,,,,,34.036,33.94,,7.0,1.0,,,,,
1789040301.7047,collate,3,0,29665,,,,,,138.731,138.441,,5.0,1.0,,,,,
1789040304.2406,collate,3,0,29665,,,,,,43.353,43.274,,6.0,1.0,,,,,
