global_step,epoch,train/loss,train/accept_len,train/accept_rate
690,0,0.984,1.132,0.112
691,0,0.883,1.344,0.215
692,0,0.891,1.332,0.235
693,0,0.891,1.39,0.21
694,0,0.898,1.337,0.197
695,0,0.875,1.526,0.257
696,0,0.906,1.49,0.266
697,0,0.891,1.426,0.211
698,0,0.82,1.782,0.302
699,0,0.938,1.342,0.174
700,0,0.891,1.356,0.209
701,0,0.938,1.184,0.141
702,0,0.91,1.404,0.223
703,0,0.875,1.5,0.245
704,0,0.898,1.502,0.24
705,0,0.914,1.463,0.221
706,0,0.953,1.365,0.162
707,0,0.895,1.25,0.176
708,0,0.93,1.226,0.159
709,0,0.891,1.463,0.233
710,0,0.82,1.668,0.316
711,0,0.891,1.346,0.213
712,0,0.898,1.432,0.221
713,0,0.859,1.704,0.281
714,0,0.879,1.481,0.22
715,0,0.934,1.415,0.175
716,0,0.836,1.81,0.313
717,0,0.922,1.327,0.186
718,0,0.918,1.393,0.179
719,0,0.918,1.385,0.165
720,0,0.883,1.463,0.231
721,0,0.883,1.527,0.271
722,0,0.945,1.235,0.153
723,0,0.879,1.495,0.232
724,0,0.887,1.492,0.254
725,0,0.906,1.469,0.236
726,0,0.941,1.296,0.182
727,0,0.93,1.293,0.197
728,0,0.883,1.46,0.243
729,0,0.945,1.417,0.228
730,0,0.883,1.527,0.231
731,0,0.922,1.318,0.166
732,0,0.906,1.346,0.181
733,0,0.875,1.476,0.211
734,0,0.922,1.27,0.169
735,0,0.809,1.385,0.276
736,0,0.941,1.364,0.196
737,0,0.883,1.418,0.205
738,0,1.031,1.083,0.044
739,0,0.93,1.342,0.184
740,0,0.914,1.373,0.218
741,0,0.844,1.622,0.286
742,0,0.789,2.148,0.387
743,0,0.812,1.782,0.313
744,0,0.898,1.18,0.151
745,0,0.969,1.261,0.168
746,0,0.887,1.246,0.165
747,0,0.891,1.365,0.218
748,0,0.961,1.176,0.114
749,0,0.914,1.4,0.212
750,0,0.875,1.369,0.214
751,0,0.918,1.345,0.23
752,0,0.832,1.606,0.28
753,0,0.785,1.768,0.341
754,0,0.93,1.337,0.175
755,0,0.957,1.336,0.17
756,0,0.836,1.486,0.272
757,0,0.859,1.582,0.299
758,0,0.965,1.173,0.123
759,0,0.875,1.526,0.233
760,0,0.984,1.174,0.124
761,0,0.973,1.145,0.123
762,0,0.879,1.462,0.229
763,0,0.895,1.393,0.224
764,0,0.969,1.301,0.169
765,0,0.938,1.181,0.132
766,0,1.0,1.341,0.195
767,0,0.816,1.588,0.286
768,0,0.914,1.36,0.226
769,0,0.859,1.525,0.236
770,0,0.871,1.59,0.24
771,0,0.938,1.316,0.175
772,0,0.953,1.296,0.158
773,0,0.902,1.398,0.174
774,0,0.953,1.287,0.171
775,0,0.871,1.401,0.246
776,0,0.926,1.257,0.157
777,0,0.961,1.269,0.165
778,0,0.855,1.472,0.247
779,0,0.891,1.324,0.201
780,0,0.961,1.245,0.171
781,0,0.922,1.255,0.169
782,0,0.883,1.411,0.206
783,0,0.938,1.388,0.234
784,0,0.922,1.309,0.182
785,0,0.867,1.493,0.231
786,0,0.926,1.174,0.138
787,0,0.879,1.373,0.179
788,0,0.926,1.324,0.156
789,0,0.867,1.474,0.228
790,0,0.883,1.555,0.236
791,0,0.992,1.171,0.123
792,0,0.875,1.333,0.152
793,0,0.906,1.377,0.217
794,0,0.949,1.444,0.193
795,0,0.891,1.457,0.225
796,0,0.871,1.561,0.267
797,0,1.0,1.309,0.182
798,0,0.953,1.224,0.144
799,0,0.887,1.426,0.274
800,0,0.844,1.663,0.295
801,0,0.852,1.636,0.295
802,0,0.848,1.574,0.304
803,0,0.945,1.249,0.158
804,0,0.836,1.588,0.279
805,0,0.844,1.632,0.271
806,0,0.922,1.349,0.192
807,0,0.871,1.522,0.236
808,0,0.883,1.46,0.22
809,0,0.855,1.565,0.28
810,0,0.953,1.156,0.104
811,0,0.828,1.777,0.285
812,0,0.883,1.399,0.224
813,0,0.906,1.451,0.2
814,0,0.848,1.605,0.274
815,0,0.934,1.303,0.168
816,0,0.852,1.489,0.272
817,0,0.902,1.391,0.221
818,0,0.953,1.202,0.159
819,0,0.887,1.493,0.245
820,0,0.773,1.761,0.328
821,0,0.891,1.439,0.232
822,0,0.914,1.368,0.197
823,0,0.844,1.579,0.271
824,0,0.898,1.53,0.244
825,0,0.918,1.339,0.168
826,0,0.953,1.299,0.179
827,0,0.93,1.364,0.198
828,0,0.773,1.829,0.36
829,0,0.984,1.299,0.177
830,0,0.941,1.241,0.178
831,0,0.969,1.225,0.139
832,0,0.898,1.232,0.129
833,0,0.969,1.234,0.154
834,0,0.895,1.487,0.252
835,0,0.84,1.723,0.282
836,0,0.961,1.244,0.151
837,0,0.941,1.381,0.191
838,0,0.887,1.531,0.25
839,0,0.914,1.456,0.229
840,0,0.852,1.485,0.227
841,0,0.727,2.167,0.391
842,0,0.801,1.707,0.302
843,0,0.887,1.446,0.226
844,0,0.762,1.927,0.365
845,0,0.988,1.233,0.126
846,0,0.914,1.364,0.193
847,0,0.844,1.573,0.292
848,0,0.828,1.667,0.276
849,0,0.918,1.396,0.203
850,0,0.746,1.867,0.355
851,0,0.832,1.706,0.339
852,0,0.863,1.571,0.26
853,0,0.906,1.41,0.24
854,0,0.938,1.259,0.162
855,0,0.906,1.203,0.134
856,0,0.895,1.422,0.206
857,0,0.941,1.362,0.211
858,0,0.879,1.466,0.214
859,0,0.891,1.373,0.219
860,0,0.805,1.849,0.347
861,0,0.848,1.642,0.284
862,0,0.816,1.688,0.311
863,0,0.875,1.594,0.231
