rank,K,lag,n,rho,p,p_holm
1,8,1,1499,-0.06111385669704804,0.017963063857846476,1.0
1,8,2,1498,-0.05350033618157234,0.038411944434787675,1.0
1,8,3,1497,-0.0598884841655428,0.02048767140964415,1.0
1,8,4,1496,-0.05709025691025288,0.027237210788377094,1.0
1,8,5,1495,-0.03761174363431569,0.14606705386421273,1.0
1,8,6,1494,-0.03760784802125367,0.1462440327263204,1.0
1,8,7,1493,-0.03258798641794585,0.20822599638944486,1.0
1,8,8,1492,-0.02094152619276224,0.418914000692298,1.0
1,8,9,1491,-0.01903875782115986,0.4625816123549541,1.0
1,8,10,1490,-0.018258460540342383,0.48127507526862523,1.0
1,8,11,1489,-0.020544466581305574,0.4282564708857729,1.0
1,8,12,1488,-0.034073968057622514,0.1889584050296301,1.0
1,8,13,1487,-0.041082902952258166,0.11329379611402281,1.0
1,8,14,1486,-0.05089601571370085,0.04980976164350373,1.0
1,8,15,1485,-0.05152433748694042,0.04712523125962231,1.0
1,8,16,1484,-0.04585651717206459,0.07740285415168201,1.0
1,16,0,1500,-0.052131311993664324,0.043515645704007594,1.0
1,16,1,1499,-0.07028133352888301,0.006485408746892616,0.5123472910045167
1,16,2,1498,-0.05956783859040092,0.021130930854873026,1.0
1,16,3,1497,-0.060610260990763214,0.019013093738980937,1.0
1,16,4,1496,-0.06310486524603044,0.014639635407622491,1.0
1,16,5,1495,-0.05034234522262764,0.05164222107277213,1.0
1,16,6,1494,-0.055940675701861176,0.03060901085140188,1.0
1,16,7,1493,-0.05928271359623057,0.021978323027968805,1.0
1,16,8,1492,-0.05074206802698254,0.05004210472684555,1.0
1,16,9,1491,-0.04922088081674415,0.05741386912357897,1.0
1,16,10,1490,-0.044536538744940526,0.08569754288418718,1.0
1,16,11,1489,-0.04377769470643238,0.09128356218481062,1.0
1,16,12,1488,-0.03473139368071927,0.18056162310034907,1.0
1,16,13,1487,-0.052825488463587124,0.04167545009601689,1.0
1,16,14,1486,-0.04665434575940521,0.07218832145016035,1.0
1,16,15,1485,-0.045922625274356484,0.0768765950320442,1.0
1,16,16,1484,-0.04169055048268542,0.10841062492107331,1.0
1,32,0,1500,-0.08044448731675279,0.0018204661157697193,0.14927822149311698
1,32,1,1499,-0.0968542815836261,0.0001729241332187706,0.0146985513235955
1,32,2,1498,-0.08275220130081928,0.001347496718392536,0.1118422276265805
1,32,3,1497,-0.08417552421928338,0.0011144811552077538,0.09361641703745133
1,32,4,1496,-0.06644897779177555,0.010145878303432845,0.7812326293643291
1,32,5,1495,-0.055404492253614594,0.03218696384451498,1.0
1,32,6,1494,-0.06544847834661618,0.01139553602174165,0.8660607376523654
1,32,7,1493,-0.06753036353103878,0.009050932108500977,0.7059727044630761
1,32,8,1492,-0.06386675779004572,0.013609990926712673,0.993529337650025
1,32,9,1491,-0.06306278850553083,0.014873069317753972,1.0
1,32,10,1490,-0.05697390434292563,0.027866337214339055,1.0
1,32,11,1489,-0.05736937196941571,0.026848842932244023,1.0
1,32,12,1488,-0.056827838784449046,0.028376572684398468,1.0
1,32,13,1487,-0.06422505687077452,0.013245537967922582,0.9801698096262711
1,32,14,1486,-0.0611759464280934,0.01835014157675219,1.0
1,32,15,1485,-0.07150283796096844,0.0058402114201127,0.467216913609016
1,32,16,1484,-0.07685958683315929,0.0030492513334178218,0.24698935800684357
2,2,0,1500,0.0068488164801946425,0.7909821139795504,1.0
2,2,1,1499,-0.005120445175282854,0.842979506121386,1.0
2,2,2,1498,0.004226966210794677,0.8701525778448936,1.0
2,2,3,1497,0.008907212460603487,0.730584093354402,1.0
2,2,4,1496,-0.000511220623959292,0.9842375823761416,1.0
2,2,5,1495,0.015678172759328243,0.5446938403103923,1.0
2,2,6,1494,0.0038090279544808424,0.8830491588889801,1.0
2,2,7,1493,-0.023310313125056242,0.3680864897857735,1.0
2,2,8,1492,-0.007119605284909748,0.783486933166303,1.0
2,2,9,1491,-0.009776400565208905,0.7060300703045284,1.0
2,2,10,1490,-0.0013608348813186131,0.958142349994789,1.0
2,2,11,1489,-0.02225379326494939,0.3908346297177251,1.0
2,2,12,1488,-0.029592789275662137,0.25394457659884123,1.0
2,2,13,1487,-0.03344815839440115,0.19736616157718065,1.0
2,2,14,1486,-0.011489491923375719,0.6580937629080182,1.0
2,2,15,1485,-0.009638580798504357,0.7105442194875102,1.0
2,2,16,1484,-0.004542513955150609,0.8612026511918149,1.0
2,4,0,1500,0.0034126454340063245,0.8949357355294412,1.0
2,4,1,1499,-0.001549106729720575,0.9522140573353228,1.0
2,4,2,1498,0.002666534398218441,0.9178680562603649,1.0
2,4,3,1497,0.019068982169754563,0.4609701344493643,1.0
2,4,4,1496,0.004317805634743323,0.8674755213812948,1.0
2,4,5,1495,-0.0012604870648293312,0.9611613438884108,1.0
2,4,6,1494,-0.004925566154388102,0.8491318472398919,1.0
2,4,7,1493,-0.020724651301779366,0.4235935080373221,1.0
2,4,8,1492,-0.012729621598876698,0.623209006515816,1.0
2,4,9,1491,-0.014189177115469541,0.584061782072081,1.0
2,4,10,1490,-0.028587880368054895,0.2701113071962516,1.0
2,4,11,1489,-0.03617358255823343,0.16297521618824778,1.0
2,4,12,1488,-0.03501382091875473,0.17704065039263053,1.0
2,4,13,1487,-0.031698988217067174,0.22184228525709943,1.0
2,4,14,1486,-0.028219183821382738,0.2769868288041158,1.0
2,4,15,1485,-0.0037678091287661566,0.8846529173420159,1.0
