global_step,epoch,train/loss,train/accept_len,train/accept_rate
380,0,0.938,1.306,0.211
381,0,0.961,1.29,0.196
382,0,0.977,1.155,0.12
383,0,0.969,1.251,0.145
384,0,0.945,1.279,0.165
385,0,0.891,1.436,0.247
386,0,1.016,1.23,0.133
387,0,0.961,1.209,0.139
388,0,0.984,1.279,0.154
389,0,0.902,1.464,0.288
390,0,0.98,1.142,0.094
391,0,0.961,1.332,0.189
392,0,0.961,1.309,0.183
393,0,0.953,1.246,0.153
394,0,0.938,1.199,0.152
395,0,0.906,1.495,0.251
396,0,0.883,1.109,0.092
397,0,0.973,1.419,0.246
398,0,0.957,1.239,0.17
399,0,0.977,1.16,0.121
400,0,0.957,1.276,0.165
401,0,0.992,1.134,0.108
402,0,0.941,1.338,0.186
403,0,0.957,1.418,0.214
404,0,0.922,1.519,0.258
405,0,0.945,1.401,0.192
406,0,0.938,1.533,0.258
407,0,0.992,1.181,0.123
408,0,0.914,1.537,0.259
409,0,0.988,1.113,0.101
410,0,0.961,1.218,0.151
411,0,0.961,1.415,0.203
412,0,0.91,1.461,0.246
413,0,0.867,1.485,0.268
414,0,0.98,1.161,0.156
415,0,0.895,2.42,0.364
416,0,0.945,1.323,0.193
417,0,0.91,1.533,0.249
418,0,1.141,1.265,0.296
419,0,0.961,1.22,0.135
420,0,0.945,1.289,0.18
421,0,0.875,1.521,0.246
422,0,1.0,1.142,0.105
423,0,0.973,1.14,0.115
424,0,1.0,1.193,0.133
425,0,0.914,1.417,0.207
426,0,0.922,1.383,0.21
427,0,0.945,1.229,0.14
428,0,0.941,1.247,0.143
429,0,0.91,1.427,0.222
430,0,0.961,1.217,0.139
431,0,0.984,1.122,0.107
432,0,0.98,1.157,0.106
433,0,1.0,1.33,0.214
434,0,0.93,1.488,0.229
435,0,0.969,1.53,0.247
436,0,1.016,1.329,0.171
437,0,0.977,1.356,0.191
438,0,0.93,1.609,0.277
439,0,0.941,1.317,0.181
440,0,0.973,1.185,0.126
441,0,0.957,1.381,0.202
442,0,0.965,1.435,0.213
443,0,0.934,1.317,0.16
444,0,0.973,1.218,0.145
445,0,0.906,1.452,0.244
446,0,0.961,1.372,0.207
447,0,0.91,1.435,0.249
448,0,0.871,1.574,0.261
449,0,0.953,1.359,0.193
450,0,0.918,1.376,0.191
451,0,0.922,1.32,0.174
452,0,0.898,1.536,0.241
453,0,0.98,1.29,0.169
454,0,0.949,1.306,0.182
455,0,0.945,1.423,0.209
456,0,0.934,1.535,0.23
457,0,0.934,1.413,0.199
458,0,0.945,1.216,0.147
459,0,0.906,1.58,0.273
460,0,0.938,1.371,0.212
461,0,0.977,1.352,0.182
462,0,0.984,1.281,0.173
463,0,0.938,1.45,0.205
464,0,0.891,1.566,0.283
465,0,0.953,1.403,0.22
466,0,0.953,1.378,0.185
467,0,0.922,1.361,0.183
468,0,0.938,1.263,0.188
469,0,0.918,1.434,0.22
470,0,0.973,1.287,0.147
471,0,0.898,1.602,0.238
472,0,0.918,1.41,0.189
473,0,0.887,1.231,0.184
474,0,0.961,1.301,0.162
475,0,0.926,1.474,0.227
476,0,0.938,1.496,0.226
477,0,0.945,1.309,0.146
478,0,0.969,1.294,0.169
479,0,0.949,1.281,0.163
480,0,0.938,1.313,0.147
481,0,0.938,1.205,0.137
482,0,0.863,1.668,0.299
483,0,1.055,1.117,0.07
484,0,0.914,1.466,0.209
485,0,0.969,1.403,0.184
486,0,0.957,1.28,0.139
487,0,0.844,1.646,0.315
488,0,0.953,1.331,0.215
489,0,0.953,1.211,0.126
490,0,0.828,1.746,0.33
491,0,0.988,1.124,0.133
492,0,0.91,1.455,0.197
493,0,0.984,1.286,0.148
494,0,0.871,1.505,0.251
495,0,0.898,1.536,0.242
496,0,0.953,1.259,0.17
497,0,0.949,1.354,0.165
498,0,0.949,1.38,0.183
499,0,0.977,1.213,0.141
500,0,0.969,1.243,0.142
501,0,0.906,1.446,0.212
502,0,0.934,1.334,0.187
503,0,0.93,1.647,0.248
504,0,0.938,1.496,0.207
505,0,0.969,1.277,0.167
506,0,0.977,1.324,0.178
507,0,0.926,1.491,0.22
508,0,0.953,1.339,0.167
509,0,1.008,1.306,0.139
510,0,1.0,1.352,0.14
511,0,0.875,1.575,0.267
512,0,0.973,1.299,0.154
513,0,0.984,1.304,0.145
514,0,0.949,1.318,0.17
515,0,0.969,1.207,0.134
516,0,0.953,1.356,0.176
517,0,0.945,1.369,0.167
518,0,0.855,1.635,0.25
519,0,0.938,1.368,0.181
520,0,0.852,1.636,0.272
521,0,0.898,1.506,0.223
522,0,0.922,1.378,0.175
523,0,0.906,1.367,0.191
524,0,0.832,1.816,0.3
525,0,0.973,1.311,0.159
526,0,0.977,1.217,0.134
527,0,1.008,1.238,0.133
528,0,0.973,1.389,0.202
529,0,0.965,1.261,0.167
530,0,0.934,1.422,0.211
531,0,1.031,1.204,0.143
532,0,0.934,1.397,0.19
533,0,0.961,1.488,0.21
534,0,0.828,1.816,0.295
535,0,0.961,1.332,0.179
536,0,0.918,1.506,0.209
537,0,0.883,1.638,0.29
538,0,0.961,1.469,0.209
539,0,0.891,1.484,0.208
540,0,0.852,1.524,0.257
541,0,0.922,1.534,0.224
542,0,0.922,1.294,0.216
543,0,0.797,1.846,0.329
544,0,0.836,1.728,0.257
545,0,0.93,1.408,0.182
546,0,0.93,1.313,0.157
547,0,0.898,1.342,0.155
548,0,0.977,1.367,0.153
549,0,0.883,1.652,0.245
550,0,0.91,1.423,0.171
551,0,0.914,1.505,0.219
552,0,0.918,1.455,0.203
553,0,0.953,1.287,0.149
554,0,0.984,1.212,0.103
555,0,0.891,1.474,0.197
556,0,0.883,1.712,0.263
557,0,0.938,1.442,0.182
558,0,0.867,1.595,0.242
559,0,0.953,1.27,0.125
560,0,0.93,1.437,0.187
561,0,0.926,1.335,0.174
562,0,0.984,1.289,0.146
563,0,0.93,1.507,0.198
564,0,0.875,1.603,0.239
565,0,0.934,1.333,0.157
566,0,0.875,1.571,0.226
567,0,0.934,1.396,0.177
568,0,0.961,1.469,0.201
569,0,0.887,1.596,0.258
570,0,0.898,1.437,0.199
571,0,0.922,1.422,0.181
572,0,0.914,1.486,0.21
573,0,0.891,1.491,0.221
574,0,0.922,1.221,0.088
575,0,0.812,1.923,0.312
576,0,0.934,1.391,0.155
577,0,0.887,1.536,0.243
578,0,0.906,1.424,0.191
579,0,0.883,1.539,0.232
580,0,0.953,1.397,0.165
581,0,0.914,1.491,0.207
582,0,0.812,1.937,0.325
583,0,0.898,1.609,0.218
584,0,0.93,1.466,0.194
585,0,0.855,1.758,0.245
586,0,0.922,1.438,0.171
587,0,0.926,1.406,0.154
588,0,0.844,1.899,0.3
589,0,0.922,1.362,0.163
590,0,0.914,1.529,0.182
591,0,0.953,1.428,0.166
592,0,0.922,1.297,0.125
593,0,0.871,1.585,0.206
594,0,0.859,1.585,0.266
595,0,0.945,1.267,0.142
596,0,0.855,1.67,0.239
597,0,0.906,1.463,0.184
598,0,0.895,1.588,0.215
599,0,0.938,1.515,0.199
600,0,0.883,1.715,0.248
601,0,0.891,1.575,0.226
602,0,0.945,1.398,0.18
603,0,0.953,1.38,0.17
604,0,0.891,1.565,0.22
605,0,0.887,1.526,0.207
606,0,0.949,1.394,0.172
607,0,0.98,1.31,0.148
608,0,0.906,1.457,0.203
609,0,0.926,1.459,0.167
610,0,0.961,1.293,0.149
611,0,0.945,1.419,0.195
612,0,0.867,1.683,0.275
613,0,0.914,1.562,0.201
614,0,0.836,1.813,0.302
615,0,0.82,1.938,0.3
616,0,0.883,1.685,0.249
617,0,0.883,1.568,0.204
618,0,0.922,1.449,0.174
619,0,0.859,1.836,0.268
620,0,0.812,1.924,0.315
621,0,0.945,1.431,0.179
622,0,0.891,1.534,0.207
623,0,0.859,1.911,0.326
624,0,0.844,1.972,0.309
625,0,0.891,1.746,0.26
626,0,0.848,1.843,0.262
627,0,0.891,1.76,0.241
628,0,0.875,1.779,0.262
629,0,0.855,1.879,0.289
630,0,0.902,1.559,0.208
631,0,0.855,1.696,0.239
632,0,0.84,1.8,0.267
633,0,0.867,1.736,0.254
634,0,0.906,1.766,0.264
635,0,0.875,1.67,0.224
636,0,0.906,1.603,0.209
637,0,0.914,1.538,0.201
638,0,0.914,1.551,0.224
639,0,0.828,1.759,0.246
640,0,0.859,1.974,0.338
641,0,0.902,1.817,0.273
642,0,0.91,1.601,0.23
643,0,0.902,1.541,0.19
644,0,0.828,2.042,0.315
645,0,0.914,1.508,0.203
646,0,0.723,2.075,0.464
647,0,0.867,1.746,0.225
648,0,0.883,1.593,0.222
649,0,0.844,1.89,0.29
650,0,0.781,2.135,0.353
651,0,0.914,1.413,0.153
652,0,0.953,1.261,0.116
653,0,0.84,1.822,0.276
654,0,0.895,1.555,0.177
655,0,0.941,1.452,0.177
656,0,0.852,1.754,0.248
657,0,0.914,1.726,0.253
658,0,0.875,1.717,0.238
659,0,0.812,1.995,0.313
660,0,0.801,2.02,0.333
661,0,0.906,1.601,0.219
662,0,0.898,1.612,0.228
663,0,0.805,1.965,0.32
664,0,0.891,1.629,0.209
665,0,0.906,1.527,0.209
666,0,0.805,1.991,0.32
667,0,0.988,1.375,0.168
668,0,0.945,1.563,0.226
669,0,0.891,1.726,0.238
670,0,0.797,2.075,0.334
671,0,0.859,1.799,0.257
672,0,0.984,1.385,0.155
673,0,0.969,1.562,0.239
674,0,0.852,1.813,0.268
675,0,0.922,1.566,0.204
676,0,0.828,1.821,0.264
677,0,0.945,1.499,0.175
678,0,0.922,1.448,0.157
679,0,0.914,1.515,0.2
680,0,0.875,1.578,0.203
681,0,0.719,2.438,0.41
682,0,0.883,1.662,0.221
683,0,0.992,1.277,0.13
684,0,0.875,1.742,0.263
685,0,0.879,1.675,0.23
686,0,0.918,1.54,0.195
687,0,0.914,1.49,0.173
688,0,0.805,2.064,0.317
689,0,0.828,1.858,0.31
690,0,1.0,1.368,0.155
691,0,0.859,1.685,0.261
692,0,0.852,1.785,0.278
693,0,0.871,1.851,0.264
694,0,0.875,1.647,0.225
695,0,0.816,1.962,0.298
696,0,0.836,1.86,0.3
697,0,0.859,1.726,0.249
698,0,0.75,2.381,0.354
699,0,0.898,1.591,0.2
700,0,0.859,1.742,0.241
701,0,0.875,1.524,0.174
702,0,0.871,1.727,0.253
703,0,0.824,1.897,0.292
704,0,0.848,1.855,0.267
705,0,0.867,1.852,0.266
706,0,0.91,1.576,0.186
707,0,0.957,1.766,0.274
708,0,0.945,1.514,0.2
709,0,0.859,1.801,0.266
710,0,0.773,2.229,0.393
711,0,0.867,1.645,0.251
712,0,0.875,1.81,0.26
713,0,0.828,2.117,0.319
714,0,0.852,1.85,0.255
715,0,0.891,1.741,0.221
716,0,0.766,2.419,0.376
717,0,0.906,1.659,0.24
718,0,0.867,1.74,0.231
719,0,0.898,1.649,0.194
720,0,0.84,1.808,0.258
721,0,0.82,1.857,0.298
722,0,0.891,1.557,0.193
723,0,0.805,1.929,0.287
724,0,0.852,1.927,0.291
725,0,0.824,1.904,0.283
726,0,0.883,1.566,0.216
727,0,0.883,1.582,0.226
