t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789039597.8012,sample,3,1,29248,812.0,317.202,108.347,True,,,,,,,,,,,,3/w1
1789039598.1957,sample,3,1,29248,631.0,394.375,58.349,True,,,,,,,,,,,,3/w1
1789039598.6543,sample,3,1,29248,4302.0,458.536,42.88,True,,,,,,,,,,,,3/w1
1789039599.1018,sample,3,1,29248,4970.0,447.356,23.843,True,,,,,,,,,,,,3/w1
1789039599.3949,sample,3,1,29248,1316.0,293.084,16.897,True,,,,,,,,,,,,3/w1
1789039599.862,sample,3,1,29248,4332.0,375.528,103.361,True,,,,,,,,,,,,3/w1
1789039600.3846,sample,3,1,29248,1284.0,522.482,56.743,True,,,,,,,,,,,,3/w1
1789039600.6872,sample,3,1,29248,1054.0,302.475,39.99,True,,,,,,,,,,,,3/w1
1789039601.1073,sample,3,1,29248,4636.0,420.07,36.053,True,,,,,,,,,,,,3/w1
1789039601.4051,sample,3,1,29248,4971.0,297.702,22.691,True,,,,,,,,,,,,3/w1
1789039601.6915,sample,3,1,29248,228.0,286.297,10.236,True,,,,,,,,,,,,3/w1
1789039602.2922,sample,3,1,29248,360.0,511.726,122.296,True,,,,,,,,,,,,3/w1
1789039602.6996,sample,3,1,29248,243.0,407.269,48.188,True,,,,,,,,,,,,3/w1
1789039603.1225,sample,3,1,29248,4835.0,422.79,32.587,True,,,,,,,,,,,,3/w1
1789039603.4402,sample,3,1,29248,628.0,317.694,29.685,True,,,,,,,,,,,,3/w1
1789039603.7035,sample,3,1,29248,1500.0,263.169,21.448,True,,,,,,,,,,,,3/w1
1789039603.9602,sample,3,1,29248,1584.0,256.665,19.225,True,,,,,,,,,,,,3/w1
1789039604.2634,sample,3,1,29248,3146.0,303.134,15.212,True,,,,,,,,,,,,3/w1
1789039605.0155,sample,3,1,29248,2212.0,661.925,140.721,True,,,,,,,,,,,,3/w1
1789039605.4412,sample,3,1,29248,3774.0,425.643,65.229,True,,,,,,,,,,,,3/w1
1789039605.7433,sample,3,1,29248,2948.0,301.967,31.395,True,,,,,,,,,,,,3/w1
1789039606.0721,sample,3,1,29248,819.0,328.775,24.173,True,,,,,,,,,,,,3/w1
1789039606.5862,sample,3,1,29248,2596.0,403.985,112.526,True,,,,,,,,,,,,3/w1
1789039606.9276,sample,3,1,29248,3710.0,341.236,60.602,True,,,,,,,,,,,,3/w1
1789039607.2113,sample,3,1,29248,1594.0,283.683,32.2,True,,,,,,,,,,,,3/w1
1789039607.6841,sample,3,1,29248,1342.0,472.725,26.156,True,,,,,,,,,,,,3/w1
1789039607.9456,sample,3,1,29248,3152.0,261.34,15.016,True,,,,,,,,,,,,3/w1
1789039608.3204,sample,3,1,29248,1877.0,374.762,7.382,True,,,,,,,,,,,,3/w1
1789039608.7869,sample,3,1,29248,4155.0,366.021,107.974,True,,,,,,,,,,,,3/w1
1789039609.0948,sample,3,1,29248,3320.0,307.774,57.2,True,,,,,,,,,,,,3/w1
1789039609.3726,sample,3,1,29248,3825.0,277.664,42.489,True,,,,,,,,,,,,3/w1
1789039609.6818,sample,3,1,29248,1713.0,309.141,22.923,True,,,,,,,,,,,,3/w1
1789039610.0769,sample,3,1,29248,1186.0,394.971,20.143,True,,,,,,,,,,,,3/w1
1789039610.5678,sample,3,1,29248,784.0,388.121,98.714,True,,,,,,,,,,,,3/w1
1789039610.9097,sample,3,1,29248,662.0,341.847,48.658,True,,,,,,,,,,,,3/w1
1789039611.3096,sample,3,1,29248,2411.0,399.712,37.04,True,,,,,,,,,,,,3/w1
1789039611.7504,sample,3,1,29248,2759.0,440.691,27.595,True,,,,,,,,,,,,3/w1
1789039612.0921,sample,3,1,29248,4055.0,341.656,22.098,True,,,,,,,,,,,,3/w1
1789039612.3897,sample,3,1,29248,3121.0,297.469,26.341,True,,,,,,,,,,,,3/w1
1789039612.9582,sample,3,1,29248,2833.0,451.594,105.288,True,,,,,,,,,,,,3/w1
1789039613.349,sample,3,1,29248,4911.0,390.732,46.046,True,,,,,,,,,,,,3/w1
1789039613.7521,sample,3,1,29248,4562.0,403.004,34.496,True,,,,,,,,,,,,3/w1
1789039614.1505,sample,3,1,29248,922.0,398.355,28.885,True,,,,,,,,,,,,3/w1
1789039614.5264,sample,3,1,29248,4610.0,375.815,35.698,True,,,,,,,,,,,,3/w1
1789039614.8045,sample,3,1,29248,3848.0,277.896,24.396,True,,,,,,,,,,,,3/w1
1789039615.0448,sample,3,1,29248,2966.0,240.229,7.02,True,,,,,,,,,,,,3/w1
1789039615.7473,sample,3,1,29248,2751.0,600.078,148.731,True,,,,,,,,,,,,3/w1
1789039616.0378,sample,3,1,29248,3277.0,290.336,49.888,True,,,,,,,,,,,,3/w1
1789039616.374,sample,3,1,29248,4643.0,336.193,44.426,True,,,,,,,,,,,,3/w1
1789039616.7028,sample,3,1,29248,2068.0,328.651,38.318,True,,,,,,,,,,,,3/w1
1789039617.0353,sample,3,1,29248,2500.0,332.448,29.339,True,,,,,,,,,,,,3/w1
1789039617.4222,sample,3,1,29248,1536.0,386.743,20.311,True,,,,,,,,,,,,3/w1
1789039617.6624,sample,3,1,29248,364.0,240.134,18.968,True,,,,,,,,,,,,3/w1
1789039618.1487,sample,3,1,29248,2297.0,486.274,11.323,True,,,,,,,,,,,,3/w1
1789039618.6796,sample,3,1,29248,204.0,424.041,95.52,True,,,,,,,,,,,,3/w1
1789039618.9628,sample,3,1,29248,90.0,283.164,52.968,True,,,,,,,,,,,,3/w1
1789039619.325,sample,3,1,29248,288.0,362.059,32.344,True,,,,,,,,,,,,3/w1
1789039619.7174,sample,3,1,29248,1432.0,392.382,28.813,True,,,,,,,,,,,,3/w1
1789039620.1182,sample,3,1,29248,3441.0,400.674,26.378,True,,,,,,,,,,,,3/w1
1789039620.2795,sample,3,1,29248,1492.0,161.24,17.229,True,,,,,,,,,,,,3/w1
1789039620.5359,sample,3,1,29248,4292.0,256.329,15.546,True,,,,,,,,,,,,3/w1
1789039620.9482,sample,3,1,29248,783.0,252.954,91.775,True,,,,,,,,,,,,3/w1
1789039621.361,sample,3,1,29248,2292.0,412.652,42.609,True,,,,,,,,,,,,3/w1
1789039621.7527,sample,3,1,29248,1137.0,391.597,40.577,True,,,,,,,,,,,,3/w1
1789039622.106,sample,3,1,29248,3444.0,353.283,31.067,True,,,,,,,,,,,,3/w1
1789039622.4493,sample,3,1,29248,1769.0,343.161,28.98,True,,,,,,,,,,,,3/w1
1789039622.7398,sample,3,1,29248,3780.0,290.319,22.612,True,,,,,,,,,,,,3/w1
1789039622.914,sample,3,1,29248,4068.0,174.108,9.615,True,,,,,,,,,,,,3/w1
1789039623.3231,sample,3,1,29248,3372.0,320.561,114.738,True,,,,,,,,,,,,3/w1
1789039623.8673,sample,3,1,29248,3130.0,544.112,53.999,True,,,,,,,,,,,,3/w1
1789039624.3573,sample,3,1,29248,1042.0,489.892,47.532,True,,,,,,,,,,,,3/w1
1789039624.7421,sample,3,1,29248,213.0,384.73,21.135,True,,,,,,,,,,,,3/w1
1789039625.0248,sample,3,1,29248,491.0,282.635,18.38,True,,,,,,,,,,,,3/w1
1789039625.4266,sample,3,1,29248,4507.0,294.221,102.678,True,,,,,,,,,,,,3/w1
1789039625.8016,sample,3,1,29248,4483.0,374.862,52.272,True,,,,,,,,,,,,3/w1
1789039626.2945,sample,3,1,29248,1312.0,492.861,39.335,True,,,,,,,,,,,,3/w1
1789039626.7404,sample,3,1,29248,3099.0,445.746,25.81,True,,,,,,,,,,,,3/w1
1789039627.0962,sample,3,1,29248,618.0,355.699,21.247,True,,,,,,,,,,,,3/w1
1789039627.4381,sample,3,1,29248,2382.0,341.911,17.922,True,,,,,,,,,,,,3/w1
1789039627.6041,sample,3,1,29248,1125.0,165.924,8.353,True,,,,,,,,,,,,3/w1
1789039627.9234,sample,3,1,29248,368.0,222.195,97.526,True,,,,,,,,,,,,3/w1
1789039628.3687,sample,3,1,29248,3419.0,445.246,55.097,True,,,,,,,,,,,,3/w1
1789039628.6696,sample,3,1,29248,2840.0,300.787,59.427,True,,,,,,,,,,,,3/w1
1789039629.011,sample,3,1,29248,3032.0,341.31,21.965,True,,,,,,,,,,,,3/w1
1789039629.2674,sample,3,1,29248,3939.0,256.349,17.85,True,,,,,,,,,,,,3/w1
1789039629.532,sample,3,1,29248,3426.0,264.457,12.13,True,,,,,,,,,,,,3/w1
1789039630.0581,sample,3,1,29248,2148.0,436.796,114.668,True,,,,,,,,,,,,3/w1
1789039630.2744,sample,3,1,29248,836.0,216.265,49.98,True,,,,,,,,,,,,3/w1
1789039630.5889,sample,3,1,29248,4229.0,314.368,34.084,True,,,,,,,,,,,,3/w1
1789039631.006,sample,3,1,29248,4393.0,417.075,29.67,True,,,,,,,,,,,,3/w1
1789039631.3538,sample,3,1,29248,4137.0,347.628,14.473,True,,,,,,,,,,,,3/w1
1789039631.8414,sample,3,1,29248,4474.0,403.761,124.112,True,,,,,,,,,,,,3/w1
1789039632.1741,sample,3,1,29248,3470.0,332.557,51.457,True,,,,,,,,,,,,3/w1
1789039632.5725,sample,3,1,29248,3515.0,398.331,39.699,True,,,,,,,,,,,,3/w1
1789039632.9775,sample,3,1,29248,206.0,404.857,22.694,True,,,,,,,,,,,,3/w1
1789039633.311,sample,3,1,29248,383.0,333.462,16.76,True,,,,,,,,,,,,3/w1
1789039633.8425,sample,3,1,29248,2825.0,404.24,98.374,True,,,,,,,,,,,,3/w1
1789039634.1746,sample,3,1,29248,4163.0,332.032,50.727,True,,,,,,,,,,,,3/w1
1789039634.5834,sample,3,1,29248,2620.0,408.746,43.324,True,,,,,,,,,,,,3/w1
1789039635.064,sample,3,1,29248,1461.0,480.506,30.789,True,,,,,,,,,,,,3/w1
1789039635.4008,sample,3,1,29248,4750.0,336.657,19.601,True,,,,,,,,,,,,3/w1
1789039635.6951,sample,3,1,29248,1993.0,294.3,21.032,True,,,,,,,,,,,,3/w1
1789039635.939,sample,3,1,29248,2157.0,243.755,11.76,True,,,,,,,,,,,,3/w1
1789039636.5265,sample,3,1,29248,3407.0,503.425,122.922,True,,,,,,,,,,,,3/w1
1789039636.8839,sample,3,1,29248,4516.0,357.284,52.509,True,,,,,,,,,,,,3/w1
1789039637.2547,sample,3,1,29248,4794.0,370.715,32.456,True,,,,,,,,,,,,3/w1
1789039637.5414,sample,3,1,29248,2035.0,286.694,19.856,True,,,,,,,,,,,,3/w1
1789039637.8042,sample,3,1,29248,1199.0,262.66,20.592,True,,,,,,,,,,,,3/w1
1789039638.057,sample,3,1,29248,1765.0,252.716,16.269,True,,,,,,,,,,,,3/w1
1789039638.5538,sample,3,1,29248,2120.0,403.783,111.729,True,,,,,,,,,,,,3/w1
1789039638.8892,sample,3,1,29248,471.0,335.263,45.683,True,,,,,,,,,,,,3/w1
1789039639.2328,sample,3,1,29248,964.0,343.488,39.251,True,,,,,,,,,,,,3/w1
1789039639.7532,sample,3,1,29248,4456.0,520.349,40.391,True,,,,,,,,,,,,3/w1
1789039640.0297,sample,3,1,29248,688.0,276.351,20.442,True,,,,,,,,,,,,3/w1
1789039640.4363,sample,3,1,29248,2398.0,310.987,106.069,True,,,,,,,,,,,,3/w1
1789039640.8737,sample,3,1,29248,891.0,437.324,60.692,True,,,,,,,,,,,,3/w1
1789039641.2455,sample,3,1,29248,3849.0,371.657,40.816,True,,,,,,,,,,,,3/w1
1789039641.664,sample,3,1,29248,2234.0,418.426,27.656,True,,,,,,,,,,,,3/w1
1789039641.852,sample,3,1,29248,4427.0,187.928,20.1,True,,,,,,,,,,,,3/w1
1789039642.1704,sample,3,1,29248,3823.0,318.292,20.277,True,,,,,,,,,,,,3/w1
1789039642.5597,sample,3,1,29248,4822.0,294.723,96.997,True,,,,,,,,,,,,3/w1
1789039643.0133,sample,3,1,29248,4637.0,453.564,48.261,True,,,,,,,,,,,,3/w1
1789039643.2852,sample,3,1,29248,1337.0,271.833,42.401,True,,,,,,,,,,,,3/w1
