t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038355.1347,timeline,1,-1,28341,,,,,,,30.0,0.0,31.0,0.094,71812.114627,71813.027358,71813.050596,71813.050596,71813.050616
1789038355.1302,timeline,2,-1,28342,,,,,,,30.0,0.0,31.0,0.106,71812.117557,71813.025674,71813.046096,71813.046096,71813.046111
1789038355.1307,timeline,0,-1,28340,,,,,,,30.0,0.0,31.0,0.101,71812.119776,71813.025281,71813.046589,71813.046589,71813.046604
1789038355.1285,timeline,3,-1,28343,,,,,,,30.0,0.0,31.0,813.922,71812.934088,71813.023057,71813.0444,71813.0444,71813.044417
1789038356.3909,timeline,2,-1,28342,,,,,,,31.0,0.0,32.0,0.1,71813.046522,71814.285891,71814.306847,71814.306847,71814.306866
1789038356.4447,timeline,0,-1,28340,,,,,,,31.0,0.0,32.0,0.14,71813.047121,71814.311337,71814.36064,71814.36064,71814.360662
1789038356.3944,timeline,1,-1,28341,,,,,,,31.0,0.0,32.0,0.109,71813.051042,71814.287216,71814.310311,71814.310311,71814.310329
1789038356.3918,timeline,3,-1,28343,,,,,,,31.0,0.0,32.0,1142.539,71814.187218,71814.285814,71814.307659,71814.307659,71814.307676
1789038358.1558,timeline,2,-1,28342,,,,,,,32.0,0.0,33.0,0.113,71814.307297,71815.821775,71816.071726,71816.071726,71816.071745
1789038358.1534,timeline,1,-1,28341,,,,,,,32.0,0.0,33.0,0.106,71814.310595,71815.821883,71816.06936,71816.06936,71816.069373
1789038358.1538,timeline,0,-1,28340,,,,,,,32.0,0.0,33.0,0.145,71814.360983,71815.819146,71816.069687,71816.069687,71816.069698
1789038358.1576,timeline,3,-1,28343,,,,,,,32.0,0.0,33.0,1422.608,71815.730506,71815.820438,71816.073564,71816.073564,71816.073577
1789038359.6672,timeline,1,-1,28341,,,,,,,33.0,0.0,34.0,0.089,71816.069754,71817.561094,71817.583063,71817.583063,71817.583079
1789038359.6646,timeline,0,-1,28340,,,,,,,33.0,0.0,34.0,0.129,71816.070209,71817.559129,71817.580554,71817.580554,71817.58057
1789038359.6619,timeline,2,-1,28342,,,,,,,33.0,0.0,34.0,0.138,71816.072302,71817.557287,71817.57783,71817.57783,71817.577845
1789038359.6613,timeline,3,-1,28343,,,,,,,33.0,0.0,34.0,1393.502,71817.467317,71817.556537,71817.577243,71817.577243,71817.577262
1789038359.9729,timeline,2,-1,28342,,,,,,,34.0,0.0,35.0,0.11,71817.578104,71817.868988,71817.888804,71817.888804,71817.888822
1789038359.974,timeline,0,-1,28340,,,,,,,34.0,0.0,35.0,0.141,71817.581008,71817.869291,71817.889854,71817.889854,71817.889876
1789038359.9748,timeline,1,-1,28341,,,,,,,34.0,0.0,35.0,0.114,71817.5835,71817.870343,71817.890737,71817.890737,71817.890753
1789038359.9736,timeline,3,-1,28343,,,,,,,34.0,0.0,35.0,201.191,71817.778671,71817.868905,71817.889478,71817.889478,71817.889493
1789038362.4901,timeline,2,-1,28342,,,,,,,35.0,0.0,36.0,0.102,71817.889182,71820.163763,71820.40603,71820.40603,71820.406044
1789038362.5581,timeline,0,-1,28340,,,,,,,35.0,0.0,36.0,0.162,71817.89019,71820.16389,71820.474047,71820.474047,71820.474059
1789038362.5125,timeline,1,-1,28341,,,,,,,35.0,0.0,36.0,0.111,71817.891144,71820.165874,71820.428407,71820.428407,71820.428424
