t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038438.0127,collate,3,0,28575,,57.34,57.253,,7.0,1.0,,,,,,,,,
1789038440.8,collate,3,0,28575,,119.778,119.562,,7.0,1.0,,,,,,,,,
1789038443.3953,collate,3,0,28575,,87.709,87.585,,6.0,1.0,,,,,,,,,
1789038445.7492,collate,3,0,28575,,26.338,26.312,,6.0,1.0,,,,,,,,,
1789038448.0254,collate,3,0,28575,,27.085,27.05,,6.0,1.0,,,,,,,,,
1789038450.3182,collate,3,0,28575,,54.85,54.752,,6.0,1.0,,,,,,,,,
1789038453.6325,collate,3,0,28575,,150.991,150.764,,9.0,1.0,,,,,,,,,
1789038455.677,collate,3,0,28575,,38.661,38.584,,5.0,1.0,,,,,,,,,
1789038458.3289,collate,3,0,28575,,82.232,82.086,,7.0,1.0,,,,,,,,,
1789038460.4802,collate,3,0,28575,,44.817,44.734,,5.0,1.0,,,,,,,,,
1789038463.1559,collate,3,0,28575,,63.371,63.293,,7.0,1.0,,,,,,,,,
1789038465.5758,collate,3,0,28575,,94.087,89.986,,6.0,1.0,,,,,,,,,
1789038468.1151,collate,3,0,28575,,31.372,31.322,,6.0,1.0,,,,,,,,,
1789038470.5942,collate,3,0,28575,,54.928,54.717,,6.0,1.0,,,,,,,,,
1789038473.1851,collate,3,0,28575,,43.641,43.566,,6.0,1.0,,,,,,,,,
1789038475.4066,collate,3,0,28575,,25.94,25.906,,5.0,1.0,,,,,,,,,
1789038477.9835,collate,3,0,28575,,72.652,70.636,,7.0,1.0,,,,,,,,,
1789038480.4595,collate,3,0,28575,,29.751,29.701,,6.0,1.0,,,,,,,,,
1789038482.8745,collate,3,0,28575,,90.112,89.984,,6.0,1.0,,,,,,,,,
1789038485.5985,collate,3,0,28575,,69.506,68.923,,6.0,1.0,,,,,,,,,
1789038488.0241,collate,3,0,28575,,65.046,64.962,,5.0,1.0,,,,,,,,,
1789038490.0397,collate,3,0,28575,,78.155,77.866,,4.0,1.0,,,,,,,,,
1789038492.6176,collate,3,0,28575,,84.139,84.027,,7.0,1.0,,,,,,,,,
1789038494.9472,collate,3,0,28575,,40.184,40.117,,6.0,1.0,,,,,,,,,
1789038497.2139,collate,3,0,28575,,57.031,56.947,,5.0,1.0,,,,,,,,,
