rank,step,n_docs,total_tokens,packed_tokens,collate_ms,sample_sum_ms,sample_max_ms,sample_mean_tok,load_ms,docs_tl,bucket
0,129,7,3397.0,3397.0,74.278,2705.8959999999997,526.117,485.2857142857143,0.143,7,7
0,130,2,3507.0,3507.0,26.686,1387.665,1067.587,1753.5,0.151,2,2
0,131,6,3995.0,3995.0,46.101,2613.571,552.053,665.8333333333334,0.167,6,6
0,132,7,3870.0,3870.0,49.095,2899.565,654.712,552.8571428571429,0.162,7,7
0,133,5,4060.0,4060.0,48.439,2121.692,556.905,812.0,0.213,5,5
0,134,4,3899.0,3899.0,52.217,1773.8290000000002,834.325,974.75,0.234,4,4
0,135,5,4076.0,4076.0,34.641,1973.4969999999998,840.983,815.2,0.148,5,5
0,136,4,3984.0,3984.0,43.908,1920.5009999999997,914.092,996.0,0.178,4,4
0,137,4,3884.0,3884.0,48.349,1536.576,606.729,971.0,0.481,4,4
0,138,5,3893.0,3893.0,61.321,2272.623,908.413,778.6,0.176,5,5
0,139,8,4033.0,4033.0,34.142,2858.381,519.115,504.125,0.159,8,8+
0,140,4,3909.0,3909.0,42.089,2132.407,1040.287,977.25,0.222,4,4
0,141,5,3990.0,3990.0,39.978,2240.3559999999998,961.256,798.0,0.165,5,5
0,142,4,3939.0,3939.0,23.471,1898.569,708.729,984.75,0.173,4,4
0,143,6,4007.0,4007.0,49.479,2353.612,614.311,667.8333333333334,0.283,6,6
0,144,5,3916.0,3916.0,49.61,2376.995,677.426,783.2,0.178,5,5
0,145,7,3927.0,3927.0,24.09,2663.504,698.745,561.0,0.16,7,7
0,146,3,4002.0,4002.0,32.266,1638.831,781.861,1334.0,0.167,3,3
0,147,3,3934.0,3934.0,36.157,1536.44,756.322,1311.3333333333333,0.138,3,3
0,148,3,3804.0,3804.0,35.627,1739.0099999999998,1002.021,1268.0,0.229,3,3
0,149,7,3910.0,3910.0,48.787,2359.091,451.157,558.5714285714286,0.17,7,7
0,150,4,3672.0,3672.0,45.607,1849.302,732.81,918.0,0.129,4,4
0,151,6,3637.0,3637.0,82.871,2189.699,516.914,606.1666666666666,0.155,6,6
0,152,2,3609.0,3609.0,38.602,1589.903,1272.309,1804.5,0.204,2,2
0,153,3,3784.0,3784.0,32.752,1788.6660000000002,1167.4,1261.3333333333333,0.175,3,3
0,154,5,3871.0,3871.0,58.486,2210.168,699.889,774.2,0.187,5,5
0,155,6,3983.0,3983.0,50.281,2288.3599999999997,485.347,663.8333333333334,0.147,6,6
0,156,5,4057.0,4057.0,35.197,2140.189,836.831,811.4,0.177,7,5
0,157,7,3856.0,3856.0,40.614,2932.505,621.871,550.8571428571429,0.201,5,7
0,158,4,3876.0,3876.0,33.293,1998.8779999999997,867.584,969.0,0.202,5,4
0,159,5,3866.0,3866.0,50.413,2489.511,942.149,773.2,0.104,4,5
0,160,3,3723.0,3723.0,35.51,1673.598,1045.032,1241.0,0.178,5,3
0,161,5,3952.0,3952.0,47.034,2208.323,830.349,790.4,0.174,3,5
0,162,5,3881.0,3881.0,38.087,2024.0140000000001,769.015,776.2,0.154,6,5
0,163,6,3891.0,3891.0,61.167,2657.5,842.198,648.5,0.166,5,6
0,164,5,3418.0,3418.0,37.64,1973.2540000000001,540.36,683.6,0.247,5,5
0,165,4,4036.0,4036.0,49.896,2038.765,1060.167,1009.0,0.152,4,4
0,166,3,3852.0,3852.0,35.761,1649.5079999999998,945.953,1284.0,0.161,3,3
0,167,6,4042.0,4042.0,26.372,2521.438,801.534,673.6666666666666,0.196,6,6
0,168,5,3928.0,3928.0,42.536,2099.872,812.935,785.6,0.174,5,5
0,169,4,3984.0,3984.0,41.467,1762.341,872.374,996.0,0.173,4,4
0,170,6,3818.0,3818.0,34.532,2500.757,548.037,636.3333333333334,0.179,6,6
0,171,8,4083.0,4083.0,53.824,2885.41,563.869,510.375,0.152,8,8+
0,172,7,3581.0,3581.0,50.487,2571.869,570.502,511.57142857142856,0.182,7,7
0,173,5,3955.0,3955.0,29.28,2163.681,809.879,791.0,0.133,5,5
0,174,5,4000.0,4000.0,58.163,1999.366,696.874,800.0,0.17,5,5
0,175,5,4048.0,4048.0,27.347,2117.9759999999997,937.586,809.6,0.183,5,5
0,176,5,3888.0,3888.0,46.205,2374.807,786.244,777.6,0.181,5,5
0,177,5,4044.0,4044.0,52.637,2250.622,686.299,808.8,0.121,5,5
0,178,4,3925.0,3925.0,38.496,1925.6159999999998,1056.065,981.25,0.194,4,4
0,179,5,3969.0,3969.0,48.474,1960.0420000000001,600.181,793.8,0.153,5,5
0,180,3,4006.0,4006.0,58.051,1439.3029999999999,790.806,1335.3333333333333,0.243,5,3
0,181,5,3318.0,3318.0,45.953,2218.0299999999997,688.446,663.6,0.172,3,5
0,182,3,3764.0,3764.0,37.978,1759.766,1078.499,1254.6666666666667,0.144,3,3
0,183,5,3702.0,3702.0,19.845,1940.269,843.08,740.4,0.124,5,5
0,184,3,3558.0,3558.0,36.142,1427.034,791.768,1186.0,0.162,5,3
0,185,5,3991.0,3991.0,50.572,2262.2180000000003,573.527,798.2,0.168,3,5
0,186,3,3833.0,3833.0,40.613,1508.9479999999999,858.617,1277.6666666666667,0.182,5,3
0,187,5,3904.0,3904.0,24.944,1979.025,593.658,780.8,0.135,3,5
0,188,4,4007.0,4007.0,35.143,1825.7869999999998,925.206,1001.75,0.148,5,4
0,189,5,3951.0,3951.0,26.608,2390.2079999999996,831.392,790.2,0.134,4,5
0,190,5,3827.0,3827.0,51.424,2220.271,714.045,765.4,0.222,5,5
0,191,6,3977.0,3977.0,29.312,2186.802,530.463,662.8333333333334,0.226,6,6
0,192,4,3906.0,3906.0,48.803,1985.6260000000002,1088.046,976.5,0.156,4,4
0,193,5,3937.0,3937.0,38.826,2180.909,950.226,787.4,0.141,5,5
0,194,3,3730.0,3730.0,47.999,1608.1709999999998,1027.042,1243.3333333333333,0.164,6,3
0,195,6,3926.0,3926.0,54.288,2485.404,747.586,654.3333333333334,0.196,3,6
0,196,4,4052.0,4052.0,36.312,2005.696,1117.994,1013.0,0.199,4,4
0,197,6,3766.0,3766.0,54.566,2332.381,508.186,627.6666666666666,0.198,6,6
0,198,6,4034.0,4034.0,23.973,2648.2870000000003,757.028,672.3333333333334,0.143,6,6
0,199,6,3918.0,3918.0,50.361,2459.326,563.593,653.0,0.146,6,6
0,200,4,3680.0,3680.0,22.354,1871.451,586.94,920.0,0.205,6,4
0,201,6,3721.0,3721.0,42.235,2794.9440000000004,602.726,620.1666666666666,0.184,4,6
0,202,3,3847.0,3847.0,44.479,1880.944,1249.071,1282.3333333333333,0.167,3,3
0,203,5,4017.0,4017.0,50.921,2001.36,794.524,803.4,0.146,5,5
0,204,3,3972.0,3972.0,32.808,1481.366,836.466,1324.0,0.155,4,3
0,205,4,3926.0,3926.0,49.84,1865.807,993.234,981.5,0.201,3,4
0,206,5,3911.0,3911.0,38.177,2476.025,881.662,782.2,0.2,5,5
0,207,6,3989.0,3989.0,52.287,2799.7310000000007,708.749,664.8333333333334,0.168,6,6
0,208,6,3998.0,3998.0,54.497,2593.466,756.887,666.3333333333334,0.202,6,6
0,209,6,4053.0,4053.0,35.324,2357.607,740.039,675.5,0.176,6,6
0,210,5,4065.0,4065.0,71.12,2249.373,634.067,813.0,0.164,5,5
0,211,5,4014.0,4014.0,54.839,2231.417,717.937,802.8,0.184,5,5
0,212,5,3537.0,3537.0,47.39,1989.8999999999999,687.39,707.4,0.215,6,5
0,213,6,3797.0,3797.0,49.573,2670.938,685.394,632.8333333333334,0.156,5,6
0,214,3,3748.0,3748.0,39.409,1528.498,954.557,1249.3333333333333,0.156,3,3
0,215,5,3903.0,3903.0,27.773,2323.155,734.747,780.6,0.16,5,5
0,216,3,3778.0,3778.0,36.376,1690.213,941.312,1259.3333333333333,0.127,4,3
0,217,4,3224.0,3224.0,41.992,1851.434,765.256,806.0,0.145,3,4
0,218,4,4084.0,4084.0,36.775,1796.663,925.847,1021.0,0.181,5,4
0,219,5,3992.0,3992.0,40.938,2524.292,813.214,798.4,0.173,4,5
0,220,4,3760.0,3760.0,29.543,1962.293,541.604,940.0,0.177,4,4
0,221,5,3577.0,3577.0,35.239,2138.804,581.045,715.4,0.176,5,5
0,222,3,3679.0,3679.0,32.822,1421.416,935.519,1226.3333333333333,0.14,6,3
0,223,6,3941.0,3941.0,53.786,2599.855,667.914,656.8333333333334,0.157,3,6
0,224,3,3857.0,3857.0,39.119,1593.422,799.56,1285.6666666666667,0.721,5,3
0,225,5,3993.0,3993.0,28.195,2315.149,762.196,798.6,0.124,3,5
0,226,6,4036.0,4036.0,46.251,2449.9230000000002,615.794,672.6666666666666,0.187,5,6
0,227,5,3948.0,3948.0,39.159,2450.493,774.814,789.6,0.145,6,5
0,228,4,3966.0,3966.0,52.396,1838.472,845.3,991.5,0.188,4,4
0,229,4,4024.0,4024.0,43.062,1901.673,865.382,1006.0,0.134,4,4
0,230,4,4009.0,4009.0,38.529,2012.0240000000001,901.806,1002.25,0.182,4,4
0,231,4,3961.0,3961.0,52.365,2013.316,932.385,990.25,0.121,4,4
0,232,4,3423.0,3423.0,23.272,1788.656,530.358,855.75,0.212,4,4
0,233,3,3996.0,3996.0,35.068,1823.004,928.388,1332.0,0.181,3,3
0,234,3,3794.0,3794.0,37.453,1667.2689999999998,970.178,1264.6666666666667,0.148,3,3
0,235,5,4038.0,4038.0,49.053,2110.119,694.423,807.6,0.162,5,5
0,236,4,3943.0,3943.0,45.018,1954.2779999999998,992.192,985.75,0.221,4,4
0,237,7,3963.0,3963.0,51.795,3090.5559999999996,698.505,566.1428571428571,0.144,7,7
0,238,5,3965.0,3965.0,38.605,2229.835,666.847,793.0,0.185,5,5
0,239,6,4009.0,4009.0,46.808,2516.726,691.062,668.1666666666666,0.386,6,6
0,240,4,3768.0,3768.0,41.734,1849.8249999999998,843.685,942.0,0.138,4,4
0,241,3,3974.0,3974.0,37.216,1466.685,797.985,1324.6666666666667,0.164,3,3
0,242,6,3892.0,3892.0,37.11,2426.625,608.151,648.6666666666666,0.166,6,6
0,243,6,4037.0,4037.0,32.166,2242.835,645.87,672.8333333333334,0.168,6,6
0,244,4,3969.0,3969.0,53.384,1961.9229999999998,868.787,992.25,0.212,4,4
0,245,5,4012.0,4012.0,49.628,2027.6850000000002,556.755,802.4,0.18,5,5
0,246,3,4014.0,4014.0,36.703,1489.4080000000001,863.118,1338.0,0.153,3,3
0,247,4,4030.0,4030.0,35.438,1693.315,501.774,1007.5,0.173,4,4
0,248,4,3896.0,3896.0,28.262,1667.5739999999998,891.325,974.0,0.17,7,4
0,249,7,4016.0,4016.0,52.576,2510.0480000000002,504.266,573.7142857142857,0.125,4,7
0,250,4,3952.0,3952.0,40.183,1773.839,794.61,988.0,0.35,4,4
0,251,5,3930.0,3930.0,48.022,2019.4629999999997,589.725,786.0,0.221,5,5
0,252,4,3979.0,3979.0,44.403,1939.699,837.6,994.75,0.219,5,4
0,253,5,4005.0,4005.0,26.512,2141.549,659.84,801.0,0.139,4,5
0,254,2,3784.0,3784.0,26.692,1349.585,857.041,1892.0,0.243,3,2
0,255,3,3697.0,3697.0,51.489,1992.296,1012.879,1232.3333333333333,0.122,2,3
0,256,6,4035.0,4035.0,52.585,2286.666,514.095,672.5,0.23,6,6
0,257,6,3859.0,3859.0,49.616,2487.094,568.776,643.1666666666666,1.032,6,6
0,258,3,3506.0,3506.0,26.245,1428.812,661.977,1168.6666666666667,0.134,3,3
0,259,6,3754.0,3754.0,38.938,2260.224,677.129,625.6666666666666,0.159,6,6
0,260,4,3848.0,3848.0,38.555,1724.5189999999998,793.852,962.0,0.158,7,4
0,261,7,3717.0,3717.0,47.565,2482.7799999999997,528.034,531.0,0.156,4,7
0,262,4,4093.0,4093.0,32.486,2032.837,1002.746,1023.25,0.194,4,4
0,263,6,4015.0,4015.0,48.141,2396.7210000000005,593.412,669.1666666666666,0.195,6,6
0,264,6,3887.0,3887.0,36.637,2322.475,498.384,647.8333333333334,0.123,6,6
0,265,5,3741.0,3741.0,47.206,1943.0470000000003,635.468,748.2,0.176,5,5
0,266,6,3912.0,3912.0,26.55,2208.287,540.03,652.0,0.418,6,6
0,267,6,4052.0,4052.0,53.078,2586.4649999999997,768.678,675.3333333333334,0.194,6,6
0,268,5,3776.0,3776.0,35.094,2261.02,645.214,755.2,0.196,5,5
0,269,5,3784.0,3784.0,49.115,2290.729,819.137,756.8,0.159,5,5
0,270,5,3881.0,3881.0,37.449,2267.13,654.725,776.2,0.156,5,5
0,271,5,3620.0,3620.0,55.205,2146.155,641.555,724.0,0.16,5,5
0,272,3,3718.0,3718.0,38.964,1474.827,772.387,1239.3333333333333,0.191,4,3
0,273,4,3884.0,3884.0,48.015,2031.787,770.951,971.0,0.145,3,4
0,274,3,4027.0,4027.0,46.648,1736.371,907.937,1342.3333333333333,0.271,5,3
0,275,5,3775.0,3775.0,42.725,1983.626,539.463,755.0,0.139,3,5
0,276,2,3548.0,3548.0,33.321,1403.445,1020.53,1774.0,0.151,4,2
0,277,4,4088.0,4088.0,43.202,2052.337,1091.151,1022.0,0.123,2,4
0,278,4,4002.0,4002.0,44.246,1820.8200000000002,921.477,1000.5,0.198,4,4
0,279,6,3797.0,3797.0,39.39,2616.197,645.152,632.8333333333334,0.168,6,6
0,280,3,3847.0,3847.0,57.885,1617.299,820.428,1282.3333333333333,0.19,3,3
0,281,4,3903.0,3903.0,45.534,1710.419,920.113,975.75,0.16,4,4
0,282,4,3732.0,3732.0,21.34,1977.9820000000002,767.793,933.0,0.147,5,4
0,283,5,3751.0,3751.0,41.226,2182.176,676.407,750.2,0.187,4,5
0,284,5,4091.0,4091.0,57.624,2339.412,890.087,818.2,0.181,5,5
0,285,7,3636.0,3636.0,25.646,2936.333,734.194,519.4285714285714,0.154,7,7
0,286,4,3950.0,3950.0,30.978,1905.2599999999998,982.083,987.5,0.165,4,4
0,287,3,3554.0,3554.0,34.886,1680.574,992.663,1184.6666666666667,0.183,3,3
0,288,4,3836.0,3836.0,38.857,1892.116,932.576,959.0,0.13,4,4
0,289,6,3996.0,3996.0,46.931,2136.3430000000003,468.251,666.0,0.151,6,6
0,290,3,3395.0,3395.0,22.523,1554.8390000000002,978.982,1131.6666666666667,0.171,4,3
0,291,4,4072.0,4072.0,43.739,2152.519,987.315,1018.0,0.191,3,4
0,292,4,3940.0,3940.0,30.602,1854.027,959.173,985.0,0.22,4,4
0,293,7,3984.0,3984.0,46.172,2452.13,391.092,569.1428571428571,0.272,7,7
0,294,4,3832.0,3832.0,41.391,1721.457,921.05,958.0,0.129,7,4
0,295,7,3895.0,3895.0,51.603,2647.746,632.958,556.4285714285714,0.139,4,7
0,296,3,3821.0,3821.0,37.643,1799.6950000000002,1036.402,1273.6666666666667,0.164,3,3
0,297,3,3753.0,3753.0,55.459,1747.983,1022.03,1251.0,0.124,3,3
0,298,4,4064.0,4064.0,31.433,1869.221,934.924,1016.0,0.216,4,4
0,299,5,3838.0,3838.0,30.38,1994.269,722.207,767.6,0.225,5,5
0,300,4,3676.0,3676.0,39.917,1623.2689999999998,775.88,919.0,0.204,5,4
0,301,5,3809.0,3809.0,58.081,2355.204,843.943,761.8,0.175,4,5
0,302,3,3762.0,3762.0,43.669,1710.232,1059.153,1254.0,0.195,3,3
0,303,4,3998.0,3998.0,47.885,1943.863,1048.644,999.5,0.131,4,4
0,304,2,3294.0,3294.0,34.537,1222.375,922.956,1647.0,0.202,4,2
0,305,4,3973.0,3973.0,47.914,1900.038,984.682,993.25,0.35,2,4
0,306,6,3833.0,3833.0,33.001,2451.8230000000003,470.91,638.8333333333334,0.162,6,6
0,307,5,3758.0,3758.0,41.234,2337.336,758.544,751.6,0.169,5,5
0,308,3,3710.0,3710.0,48.972,1754.833,1019.138,1236.6666666666667,0.197,6,3
0,309,6,3934.0,3934.0,51.939,2319.671,565.309,655.6666666666666,0.143,3,6
0,310,4,3961.0,3961.0,48.18,1781.27,901.16,990.25,0.196,4,4
0,311,4,3888.0,3888.0,47.292,2198.8089999999997,1104.264,972.0,0.181,4,4
