t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039913.3222,timeline,1,-1,29430,38.0,0.0,39.0,0.106,,,,,,,73370.136884,73370.986696,73371.238134,73371.238134,73371.238151
1789039913.3412,timeline,2,-1,29431,38.0,0.0,39.0,0.112,,,,,,,73370.138308,73370.987353,73371.257111,73371.257111,73371.257124
1789039913.347,timeline,0,-1,29429,38.0,0.0,39.0,0.144,,,,,,,73370.138367,73370.984853,73371.262879,73371.262879,73371.262893
1789039913.3346,timeline,3,-1,29432,38.0,0.0,39.0,758.637,,,,,,,73370.893477,73370.984403,73371.250525,73371.250525,73371.250541
1789039914.8732,timeline,1,-1,29430,39.0,0.0,40.0,0.098,,,,,,,73371.238589,73372.768403,73372.78915,73372.78915,73372.789168
1789039914.8714,timeline,0,-1,29429,39.0,0.0,40.0,0.123,,,,,,,73371.263437,73372.765604,73372.787272,73372.787272,73372.787286
1789039914.8729,timeline,2,-1,29431,39.0,0.0,40.0,402.479,,,,,,,73371.659828,73372.767276,73372.788828,73372.788828,73372.788848
1789039914.8686,timeline,3,-1,29432,39.0,0.0,40.0,1424.542,,,,,,,73372.675329,73372.765025,73372.784545,73372.784545,73372.78456
1789039915.9699,timeline,0,-1,29429,40.0,0.0,41.0,0.142,,,,,,,73372.787693,73373.784865,73373.877522,73373.877522,73373.885799
1789039915.9662,timeline,2,-1,29431,40.0,0.0,41.0,0.113,,,,,,,73372.789328,73373.786615,73373.877535,73373.877535,73373.882084
1789039915.9661,timeline,1,-1,29430,40.0,0.0,41.0,0.122,,,,,,,73372.789578,73373.787137,73373.87749,73373.87749,73373.882029
1789039915.9661,timeline,3,-1,29432,40.0,0.0,41.0,908.235,,,,,,,73373.69301,73373.784435,73373.877508,73373.877508,73373.882024
1789039917.4125,timeline,1,-1,29430,41.0,0.0,42.0,0.135,,,,,,,73373.882316,73375.060658,73375.328376,73375.328376,73375.328389
1789039917.4332,timeline,2,-1,29431,41.0,0.0,42.0,0.136,,,,,,,73373.882395,73375.060065,73375.349073,73375.349073,73375.349087
1789039917.3887,timeline,0,-1,29429,41.0,0.0,42.0,0.144,,,,,,,73373.8862,73375.058491,73375.30465,73375.30465,73375.304662
1789039917.3932,timeline,3,-1,29432,41.0,0.0,42.0,1086.605,,,,,,,73374.968871,73375.059582,73375.309139,73375.309139,73375.309161
1789039918.4372,timeline,0,-1,29429,42.0,0.0,43.0,0.12,,,,,,,73375.305055,73376.33339,73376.353064,73376.353064,73376.35308
1789039918.4389,timeline,1,-1,29430,42.0,0.0,43.0,0.085,,,,,,,73375.328749,73376.334098,73376.354775,73376.354775,73376.354789
1789039918.4405,timeline,2,-1,29431,42.0,0.0,43.0,0.091,,,,,,,73375.349634,73376.33553,73376.356429,73376.356429,73376.356447
1789039918.4357,timeline,3,-1,29432,42.0,0.0,43.0,933.137,,,,,,,73376.242582,73376.332198,73376.351609,73376.351609,73376.351622
1789039919.0968,timeline,0,-1,29429,43.0,0.0,44.0,0.137,,,,,,,73376.35337,73376.993465,73377.012758,73377.012758,73377.012773
1789039919.1003,timeline,1,-1,29430,43.0,0.0,44.0,0.106,,,,,,,73376.355035,73376.995225,73377.016258,73377.016258,73377.016274
1789039919.0992,timeline,2,-1,29431,43.0,0.0,44.0,0.122,,,,,,,73376.356941,73376.994086,73377.015147,73377.015147,73377.015167
1789039919.0976,timeline,3,-1,29432,43.0,0.0,44.0,551.699,,,,,,,73376.903548,73376.993226,73377.013485,73377.013485,73377.013503
1789039921.1293,timeline,0,-1,29429,44.0,0.0,45.0,0.137,,,,,,,73377.01306,73378.790637,73379.04525,73379.04525,73379.045263
1789039921.126,timeline,1,-1,29430,44.0,0.0,45.0,0.107,,,,,,,73377.01672,73378.78715,73379.041896,73379.041896,73379.041907
1789039921.1198,timeline,2,-1,29431,44.0,0.0,45.0,644.689,,,,,,,73377.660116,73378.785571,73379.035671,73379.035671,73379.035686
1789039921.1199,timeline,3,-1,29432,44.0,0.0,45.0,1659.462,,,,,,,73378.673198,73378.78509,73379.035774,73379.035774,73379.035786
1789039921.4076,timeline,2,-1,29431,45.0,0.0,46.0,0.133,,,,,,,73379.036629,73379.302402,73379.323531,73379.323531,73379.323547
1789039921.4113,timeline,1,-1,29430,45.0,0.0,46.0,0.094,,,,,,,73379.04234,73379.305249,73379.327251,73379.327251,73379.327267
1789039921.4077,timeline,0,-1,29429,45.0,0.0,46.0,0.123,,,,,,,73379.045537,73379.302513,73379.323657,73379.323657,73379.323673
1789039921.4058,timeline,3,-1,29432,45.0,0.0,46.0,176.305,,,,,,,73379.212312,73379.301546,73379.321702,73379.321702,73379.321719
1789039923.2186,timeline,0,-1,29429,46.0,0.0,47.0,0.141,,,,,,,73379.324172,73381.113145,73381.134489,73381.134489,73381.134506
1789039923.2185,timeline,1,-1,29430,46.0,0.0,47.0,0.115,,,,,,,73379.327554,73381.115114,73381.134458,73381.134458,73381.134475
1789039923.2181,timeline,2,-1,29431,46.0,0.0,47.0,603.151,,,,,,,73379.927,73381.112785,73381.133963,73381.133963,73381.133979
1789039923.2147,timeline,3,-1,29432,46.0,0.0,47.0,1699.409,,,,,,,73381.021409,73381.110792,73381.130623,73381.130623,73381.130641
1789039924.5744,timeline,2,-1,29431,47.0,0.0,48.0,0.111,,,,,,,73381.134395,73382.220153,73382.490305,73382.490305,73382.490322
