t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789041171.9201,sample,3,0,30301,,,,,204.0,422.496,104.199,True,,,,,,,,3/w0
1789041172.2674,sample,3,0,30301,,,,,90.0,347.146,49.37,True,,,,,,,,3/w0
1789041172.5677,sample,3,0,30301,,,,,288.0,300.249,31.033,True,,,,,,,,3/w0
1789041172.9403,sample,3,0,30301,,,,,1432.0,372.466,28.668,True,,,,,,,,3/w0
1789041173.1661,sample,3,0,30301,,,,,3441.0,225.668,26.568,True,,,,,,,,3/w0
1789041173.4975,sample,3,0,30301,,,,,1492.0,331.337,20.016,True,,,,,,,,3/w0
1789041173.7677,sample,3,0,30301,,,,,4292.0,270.097,15.361,True,,,,,,,,3/w0
1789041174.3215,sample,3,0,30301,,,,,402.0,451.139,102.468,True,,,,,,,,3/w0
1789041174.799,sample,3,0,30301,,,,,4188.0,477.439,61.887,True,,,,,,,,3/w0
1789041175.1504,sample,3,0,30301,,,,,1387.0,351.237,42.735,True,,,,,,,,3/w0
1789041175.5589,sample,3,0,30301,,,,,1039.0,408.344,26.894,True,,,,,,,,3/w0
1789041175.8195,sample,3,0,30301,,,,,4321.0,260.505,25.461,True,,,,,,,,3/w0
1789041176.2496,sample,3,0,30301,,,,,2520.0,430.059,17.629,True,,,,,,,,3/w0
1789041176.7192,sample,3,0,30301,,,,,3111.0,325.091,104.076,True,,,,,,,,3/w0
1789041177.1828,sample,3,0,30301,,,,,2926.0,463.374,86.316,True,,,,,,,,3/w0
1789041177.5124,sample,3,0,30301,,,,,2099.0,329.496,48.277,True,,,,,,,,3/w0
1789041177.8954,sample,3,0,30301,,,,,3502.0,382.89,28.151,True,,,,,,,,3/w0
1789041178.1846,sample,3,0,30301,,,,,1191.0,289.066,18.948,True,,,,,,,,3/w0
1789041178.5396,sample,3,0,30301,,,,,1389.0,354.858,19.417,True,,,,,,,,3/w0
1789041178.977,sample,3,0,30301,,,,,4810.0,302.204,115.196,True,,,,,,,,3/w0
1789041179.334,sample,3,0,30301,,,,,2583.0,356.846,64.919,True,,,,,,,,3/w0
1789041179.6873,sample,3,0,30301,,,,,3784.0,353.169,40.124,True,,,,,,,,3/w0
1789041180.043,sample,3,0,30301,,,,,1292.0,355.553,24.404,True,,,,,,,,3/w0
1789041180.289,sample,3,0,30301,,,,,319.0,245.927,24.275,True,,,,,,,,3/w0
1789041180.5993,sample,3,0,30301,,,,,3300.0,310.157,24.253,True,,,,,,,,3/w0
1789041181.0721,sample,3,0,30301,,,,,1975.0,346.694,142.491,True,,,,,,,,3/w0
1789041181.5143,sample,3,0,30301,,,,,636.0,442.018,43.381,True,,,,,,,,3/w0
1789041181.8822,sample,3,0,30301,,,,,3090.0,367.852,27.868,True,,,,,,,,3/w0
1789041182.2405,sample,3,0,30301,,,,,674.0,358.143,26.579,True,,,,,,,,3/w0
1789041182.5462,sample,3,0,30301,,,,,1841.0,305.628,30.251,True,,,,,,,,3/w0
1789041182.9167,sample,3,0,30301,,,,,2645.0,370.295,28.458,True,,,,,,,,3/w0
1789041183.3158,sample,3,0,30301,,,,,4474.0,329.671,148.135,True,,,,,,,,3/w0
1789041183.7147,sample,3,0,30301,,,,,3470.0,398.774,54.095,True,,,,,,,,3/w0
1789041184.1589,sample,3,0,30301,,,,,3515.0,444.174,47.186,True,,,,,,,,3/w0
1789041184.4869,sample,3,0,30301,,,,,206.0,327.807,24.253,True,,,,,,,,3/w0
1789041184.7593,sample,3,0,30301,,,,,383.0,272.258,18.416,True,,,,,,,,3/w0
1789041185.2577,sample,3,0,30301,,,,,1862.0,390.373,112.052,True,,,,,,,,3/w0
1789041185.6526,sample,3,0,30301,,,,,3536.0,394.746,61.188,True,,,,,,,,3/w0
1789041185.9975,sample,3,0,30301,,,,,3724.0,344.76,35.108,True,,,,,,,,3/w0
1789041186.3583,sample,3,0,30301,,,,,1495.0,360.717,28.462,True,,,,,,,,3/w0
1789041186.6781,sample,3,0,30301,,,,,4678.0,319.634,23.535,True,,,,,,,,3/w0
1789041186.9611,sample,3,0,30301,,,,,280.0,282.862,16.67,True,,,,,,,,3/w0
1789041187.2187,sample,3,0,30301,,,,,1925.0,257.472,15.122,True,,,,,,,,3/w0
