global_step,epoch,epoch_frac,train/loss,train/accept_len,train/accept_rate
292,0,0.010101,0.322,1.868,0.26
293,0,0.010136,0.322,1.867,0.264
294,0,0.010170,0.323,1.909,0.291
295,0,0.010205,0.325,1.866,0.268
296,0,0.010239,0.331,1.742,0.24
297,0,0.010274,0.325,1.871,0.268
298,0,0.010309,0.312,1.944,0.283
299,0,0.010343,0.338,1.771,0.243
300,0,0.010378,0.345,1.694,0.226
301,0,0.010412,0.297,2.219,0.331
302,0,0.010447,0.305,2.107,0.316
303,0,0.010482,0.333,1.827,0.25
304,0,0.010516,0.338,1.804,0.253
305,0,0.010551,0.316,2.108,0.307
306,0,0.010585,0.338,1.832,0.26
307,0,0.010620,0.339,1.797,0.242
308,0,0.010654,0.319,1.906,0.283
309,0,0.010689,0.306,2.031,0.298
310,0,0.010724,0.328,1.774,0.246
311,0,0.010758,0.323,1.917,0.269
312,0,0.010793,0.322,2.0,0.29
313,0,0.010827,0.338,1.904,0.257
314,0,0.010862,0.32,1.915,0.258
315,0,0.010897,0.305,2.064,0.313
316,0,0.010931,0.312,2.022,0.288
317,0,0.010966,0.325,1.943,0.273
318,0,0.011000,0.312,2.057,0.299
319,0,0.011035,0.322,2.018,0.296
320,0,0.011070,0.311,2.009,0.289
321,0,0.011104,0.306,2.061,0.308
322,0,0.011139,0.309,2.072,0.302
323,0,0.011173,0.325,1.939,0.266
324,0,0.011208,0.319,1.985,0.279
325,0,0.011243,0.303,2.152,0.316
326,0,0.011277,0.312,1.973,0.279
327,0,0.011312,0.305,2.168,0.328
328,0,0.011346,0.305,2.093,0.309
329,0,0.011381,0.316,1.988,0.287
330,0,0.011416,0.314,2.04,0.309
331,0,0.011450,0.328,1.868,0.261
332,0,0.011485,0.32,1.89,0.257
333,0,0.011519,0.328,1.802,0.241
334,0,0.011554,0.3,2.154,0.31
335,0,0.011588,0.316,2.011,0.282
336,0,0.011623,0.312,2.037,0.29
337,0,0.011658,0.316,1.923,0.264
338,0,0.011692,0.319,2.012,0.287
339,0,0.011727,0.316,2.038,0.287
340,0,0.011761,0.308,2.106,0.31
341,0,0.011796,0.294,2.302,0.341
342,0,0.011831,0.291,2.367,0.342
343,0,0.011865,0.317,1.986,0.284
344,0,0.011900,0.312,1.994,0.268
345,0,0.011934,0.281,2.367,0.365
346,0,0.011969,0.308,2.075,0.297
347,0,0.012004,0.312,1.958,0.288
348,0,0.012038,0.292,2.183,0.315
349,0,0.012073,0.303,2.109,0.296
350,0,0.012107,0.309,2.06,0.292
351,0,0.012142,0.291,2.226,0.326
352,0,0.012177,0.294,2.199,0.327
353,0,0.012211,0.256,2.702,0.441
354,0,0.012246,0.281,2.385,0.369
355,0,0.012280,0.334,1.855,0.249
356,0,0.012315,0.327,1.783,0.235
357,0,0.012350,0.297,2.143,0.31
358,0,0.012384,0.287,2.315,0.351
359,0,0.012419,0.308,2.096,0.291
360,0,0.012453,0.286,2.337,0.348
361,0,0.012488,0.294,2.149,0.308
362,0,0.012522,0.311,1.967,0.275
363,0,0.012557,0.3,2.092,0.294
364,0,0.012592,0.303,2.059,0.284
365,0,0.012626,0.308,2.018,0.293
366,0,0.012661,0.309,1.977,0.289
367,0,0.012695,0.287,2.285,0.341
368,0,0.012730,0.3,2.126,0.318
369,0,0.012765,0.311,1.997,0.279
370,0,0.012799,0.297,2.186,0.315
371,0,0.012834,0.275,2.474,0.358
372,0,0.012868,0.256,2.607,0.411
373,0,0.012903,0.291,2.222,0.325
374,0,0.012938,0.306,1.999,0.273
375,0,0.012972,0.294,2.185,0.32
376,0,0.013007,0.272,2.506,0.373
377,0,0.013041,0.283,2.382,0.346
378,0,0.013076,0.291,2.231,0.324
379,0,0.013111,0.28,2.368,0.358
380,0,0.013145,0.309,2.07,0.305
381,0,0.013180,0.306,2.045,0.275
382,0,0.013214,0.3,2.176,0.321
383,0,0.013249,0.309,2.094,0.285
384,0,0.013284,0.275,2.483,0.384
385,0,0.013318,0.294,2.318,0.34
386,0,0.013353,0.287,2.315,0.341
387,0,0.013387,0.294,2.194,0.314
388,0,0.013422,0.28,2.408,0.359
389,0,0.013456,0.297,2.171,0.325
390,0,0.013491,0.312,2.167,0.328
391,0,0.013526,0.303,2.14,0.303
392,0,0.013560,0.3,2.114,0.296
393,0,0.013595,0.294,2.265,0.336
394,0,0.013629,0.275,2.477,0.382
395,0,0.013664,0.292,2.211,0.322
396,0,0.013699,0.316,1.905,0.259
397,0,0.013733,0.291,2.236,0.333
398,0,0.013768,0.325,1.878,0.252
399,0,0.013802,0.281,2.294,0.349
400,0,0.013837,0.287,2.31,0.355
401,0,0.013872,0.281,2.335,0.343
402,0,0.013906,0.291,2.224,0.34
403,0,0.013941,0.294,2.27,0.341
404,0,0.013975,0.267,2.611,0.4
405,0,0.014010,0.281,2.377,0.354
406,0,0.014045,0.303,2.182,0.292
407,0,0.014079,0.284,2.357,0.348
408,0,0.014114,0.281,2.446,0.367
409,0,0.014148,0.266,2.596,0.401
410,0,0.014183,0.287,2.244,0.324
411,0,0.014218,0.298,2.119,0.306
412,0,0.014252,0.291,2.244,0.332
413,0,0.014287,0.284,2.204,0.311
414,0,0.014321,0.284,2.235,0.308
415,0,0.014356,0.266,2.536,0.376
416,0,0.014390,0.284,2.267,0.339
417,0,0.014425,0.278,2.407,0.369
418,0,0.014460,0.266,2.497,0.378
419,0,0.014494,0.287,2.309,0.328
420,0,0.014529,0.294,2.225,0.327
421,0,0.014563,0.287,2.279,0.323
422,0,0.014598,0.284,2.319,0.339
423,0,0.014633,0.294,2.273,0.33
424,0,0.014667,0.28,2.407,0.352
425,0,0.014702,0.322,1.937,0.259
426,0,0.014736,0.303,2.162,0.281
427,0,0.014771,0.281,2.394,0.358
428,0,0.014806,0.284,2.299,0.33
429,0,0.014840,0.295,2.244,0.321
430,0,0.014875,0.284,2.335,0.356
431,0,0.014909,0.237,3.22,0.449
432,0,0.014944,0.319,1.903,0.253
433,0,0.014979,0.247,2.802,0.434
434,0,0.015013,0.284,2.295,0.342
435,0,0.015048,0.272,2.53,0.382
436,0,0.015082,0.297,2.172,0.301
437,0,0.015117,0.309,2.068,0.281
438,0,0.015152,0.295,2.186,0.316
439,0,0.015186,0.234,2.942,0.464
440,0,0.015221,0.294,2.209,0.323
441,0,0.015255,0.275,2.446,0.37
442,0,0.015290,0.284,2.348,0.34
443,0,0.015324,0.241,3.062,0.454
444,0,0.015359,0.294,2.279,0.316
445,0,0.015394,0.297,2.25,0.321
446,0,0.015428,0.28,2.376,0.345
447,0,0.015463,0.278,2.412,0.369
448,0,0.015497,0.275,2.413,0.359
449,0,0.015532,0.302,2.276,0.348
450,0,0.015567,0.291,2.25,0.357
451,0,0.015601,0.291,2.324,0.333
452,0,0.015636,0.297,2.201,0.332
453,0,0.015670,0.27,2.53,0.368
454,0,0.015705,0.3,2.192,0.309
455,0,0.015740,0.231,3.014,0.478
456,0,0.015774,0.295,2.259,0.327
457,0,0.015809,0.287,2.326,0.346
458,0,0.015843,0.294,2.232,0.328
459,0,0.015878,0.284,2.306,0.351
460,0,0.015913,0.306,2.095,0.282
461,0,0.015947,0.294,2.233,0.313
462,0,0.015982,0.253,2.741,0.408
463,0,0.016016,0.286,2.377,0.348
464,0,0.016051,0.295,2.156,0.312
465,0,0.016086,0.284,2.356,0.34
466,0,0.016120,0.256,2.666,0.41
467,0,0.016155,0.27,2.506,0.385
468,0,0.016189,0.278,2.375,0.355
469,0,0.016224,0.267,2.541,0.395
470,0,0.016258,0.245,2.798,0.43
471,0,0.016293,0.28,2.426,0.351
472,0,0.016328,0.259,2.7,0.397
473,0,0.016362,0.291,2.24,0.323
474,0,0.016397,0.294,2.292,0.321
475,0,0.016431,0.287,2.333,0.342
476,0,0.016466,0.272,2.483,0.384
477,0,0.016501,0.275,2.474,0.351
478,0,0.016535,0.278,2.462,0.372
479,0,0.016570,0.256,2.765,0.415
480,0,0.016604,0.303,2.128,0.302
481,0,0.016639,0.3,2.194,0.319
482,0,0.016674,0.28,2.347,0.341
483,0,0.016708,0.263,2.576,0.4
484,0,0.016743,0.278,2.428,0.363
485,0,0.016777,0.272,2.529,0.374
486,0,0.016812,0.278,2.365,0.332
487,0,0.016847,0.267,2.542,0.393
488,0,0.016881,0.247,2.834,0.434
489,0,0.016916,0.277,2.415,0.35
490,0,0.016950,0.256,2.72,0.418
491,0,0.016985,0.294,2.248,0.323
492,0,0.017020,0.28,2.431,0.365
493,0,0.017054,0.303,2.029,0.305
494,0,0.017089,0.284,2.365,0.335
495,0,0.017123,0.303,2.114,0.305
496,0,0.017158,0.269,2.583,0.394
497,0,0.017192,0.266,2.594,0.393
498,0,0.017227,0.297,2.235,0.322
499,0,0.017262,0.291,2.264,0.324
500,0,0.017296,0.297,2.232,0.32
501,0,0.017331,0.25,2.789,0.441
502,0,0.017365,0.283,2.37,0.347
503,0,0.017400,0.275,2.479,0.37
504,0,0.017435,0.289,2.332,0.343
505,0,0.017469,0.291,2.308,0.34
506,0,0.017504,0.3,2.103,0.306
507,0,0.017538,0.297,2.186,0.31
508,0,0.017573,0.27,2.53,0.385
509,0,0.017608,0.284,2.358,0.357
510,0,0.017642,0.278,2.457,0.365
511,0,0.017677,0.278,2.379,0.355
512,0,0.017711,0.275,2.421,0.361
513,0,0.017746,0.286,2.319,0.35
514,0,0.017781,0.256,2.698,0.412
515,0,0.017815,0.25,2.917,0.449
516,0,0.017850,0.277,2.451,0.365
517,0,0.017884,0.253,2.755,0.43
518,0,0.017919,0.269,2.6,0.381
519,0,0.017954,0.291,2.307,0.331
520,0,0.017988,0.256,2.723,0.412
521,0,0.018023,0.25,2.75,0.427
522,0,0.018057,0.281,2.405,0.355
523,0,0.018092,0.267,2.52,0.365
524,0,0.018126,0.306,2.088,0.277
525,0,0.018161,0.281,2.345,0.347
526,0,0.018196,0.266,2.621,0.392
527,0,0.018230,0.263,2.63,0.4
528,0,0.018265,0.283,2.376,0.351
529,0,0.018299,0.267,2.594,0.397
530,0,0.018334,0.275,2.495,0.382
531,0,0.018369,0.275,2.399,0.366
532,0,0.018403,0.297,2.211,0.293
533,0,0.018438,0.287,2.364,0.336
534,0,0.018472,0.275,2.545,0.371
535,0,0.018507,0.294,2.266,0.326
536,0,0.018542,0.291,2.29,0.324
537,0,0.018576,0.3,2.129,0.305
538,0,0.018611,0.272,2.536,0.377
539,0,0.018645,0.272,2.488,0.362
540,0,0.018680,0.252,2.799,0.425
541,0,0.018715,0.284,2.341,0.349
542,0,0.018749,0.258,2.649,0.423
543,0,0.018784,0.269,2.525,0.375
544,0,0.018818,0.266,2.532,0.388
545,0,0.018853,0.275,2.509,0.366
546,0,0.018888,0.281,2.369,0.34
547,0,0.018922,0.247,2.848,0.428
548,0,0.018957,0.298,2.145,0.301
549,0,0.018991,0.263,2.63,0.397
550,0,0.019026,0.244,2.848,0.455
551,0,0.019060,0.275,2.479,0.378
552,0,0.019095,0.252,2.832,0.429
553,0,0.019130,0.272,2.555,0.378
554,0,0.019164,0.281,2.39,0.359
555,0,0.019199,0.269,2.599,0.393
556,0,0.019233,0.291,2.265,0.328
557,0,0.019268,0.277,2.54,0.386
558,0,0.019303,0.261,2.608,0.373
559,0,0.019337,0.284,2.387,0.355
560,0,0.019372,0.273,2.462,0.363
561,0,0.019406,0.295,2.337,0.325
562,0,0.019441,0.284,2.304,0.331
563,0,0.019476,0.272,2.493,0.374
564,0,0.019510,0.253,2.762,0.419
565,0,0.019545,0.27,2.577,0.389
566,0,0.019579,0.267,2.593,0.396
567,0,0.019614,0.294,2.192,0.321
568,0,0.019649,0.289,2.295,0.342
569,0,0.019683,0.291,2.292,0.341
570,0,0.019718,0.28,2.483,0.372
571,0,0.019752,0.302,2.151,0.315
572,0,0.019787,0.287,2.277,0.316
573,0,0.019822,0.312,2.101,0.306
574,0,0.019856,0.273,2.516,0.374
575,0,0.019891,0.305,2.039,0.289
576,0,0.019925,0.284,2.374,0.34
577,0,0.019960,0.284,2.367,0.35
578,0,0.019994,0.283,2.443,0.362
579,0,0.020029,0.281,2.362,0.353
580,0,0.020064,0.284,2.294,0.324
581,0,0.020098,0.272,2.49,0.378
582,0,0.020133,0.281,2.404,0.364
583,0,0.020167,0.275,2.435,0.382
584,0,0.020202,0.255,2.811,0.44
585,0,0.020237,0.275,2.495,0.382
586,0,0.020271,0.267,2.572,0.389
587,0,0.020306,0.272,2.536,0.373
588,0,0.020340,0.248,2.817,0.437
589,0,0.020375,0.292,2.224,0.328
590,0,0.020410,0.266,2.629,0.403
591,0,0.020444,0.275,2.497,0.364
592,0,0.020479,0.292,2.273,0.342
593,0,0.020513,0.258,2.736,0.414
594,0,0.020548,0.302,2.178,0.308
595,0,0.020583,0.287,2.337,0.323
596,0,0.020617,0.255,2.736,0.409
597,0,0.020652,0.266,2.633,0.401
598,0,0.020686,0.3,2.185,0.313
599,0,0.020721,0.269,2.577,0.383
600,0,0.020756,0.269,2.833,0.417
601,0,0.020790,0.253,2.827,0.432
602,0,0.020825,0.266,2.607,0.404
603,0,0.020859,0.269,2.587,0.382
604,0,0.020894,0.287,2.377,0.361
605,0,0.020928,0.272,2.48,0.353
606,0,0.020963,0.284,2.328,0.336
607,0,0.020998,0.284,2.381,0.351
608,0,0.021032,0.289,2.324,0.335
609,0,0.021067,0.259,2.759,0.419
610,0,0.021101,0.25,2.832,0.437
611,0,0.021136,0.283,2.553,0.381
612,0,0.021171,0.27,2.608,0.392
613,0,0.021205,0.284,2.359,0.357
614,0,0.021240,0.309,2.077,0.277
615,0,0.021274,0.306,2.138,0.31
616,0,0.021309,0.273,2.604,0.382
617,0,0.021344,0.269,2.523,0.398
618,0,0.021378,0.241,2.936,0.444
619,0,0.021413,0.306,2.064,0.293
620,0,0.021447,0.266,2.659,0.395
621,0,0.021482,0.258,2.763,0.417
622,0,0.021517,0.27,2.533,0.379
623,0,0.021551,0.259,2.743,0.423
624,0,0.021586,0.272,2.446,0.377
625,0,0.021620,0.284,2.35,0.349
626,0,0.021655,0.269,2.645,0.394
627,0,0.021689,0.266,2.647,0.397
628,0,0.021724,0.266,2.62,0.403
629,0,0.021759,0.273,2.519,0.377
630,0,0.021793,0.27,2.539,0.384
631,0,0.021828,0.292,2.304,0.339
632,0,0.021862,0.277,2.459,0.379
633,0,0.021897,0.305,2.113,0.303
634,0,0.021932,0.253,2.864,0.439
635,0,0.021966,0.25,2.781,0.429
636,0,0.022001,0.266,2.661,0.406
637,0,0.022035,0.264,2.588,0.398
638,0,0.022070,0.286,2.348,0.337
639,0,0.022105,0.291,2.352,0.353
640,0,0.022139,0.291,2.317,0.341
641,0,0.022174,0.278,2.437,0.377
642,0,0.022208,0.272,2.498,0.375
643,0,0.022243,0.244,2.91,0.438
644,0,0.022278,0.277,2.475,0.37
645,0,0.022312,0.244,2.923,0.446
646,0,0.022347,0.25,2.831,0.429
647,0,0.022381,0.269,2.627,0.391
648,0,0.022416,0.287,2.318,0.346
649,0,0.022451,0.275,2.505,0.372
650,0,0.022485,0.308,2.23,0.332
651,0,0.022520,0.287,2.352,0.356
652,0,0.022554,0.294,2.241,0.34
653,0,0.022589,0.272,2.496,0.386
654,0,0.022623,0.284,2.274,0.345
655,0,0.022658,0.283,2.373,0.345
656,0,0.022693,0.277,2.479,0.373
