t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036474.4383,timeline,2,-1,21671,38.0,0.0,39.0,0.108,,,,,69930.811451,69932.091983,69932.354239,69932.354239,69932.354255
1789036474.523,timeline,0,-1,21669,38.0,0.0,39.0,0.151,,,,,69930.813575,69932.094661,69932.438965,69932.438965,69932.438976
1789036474.4685,timeline,3,-1,21672,38.0,0.0,39.0,1191.445,,,,,69932.004944,69932.093939,69932.384382,69932.384382,69932.384398
1789036475.411,timeline,1,-1,21670,39.0,0.0,40.0,0.214,,,,,69932.332168,69933.305827,69933.326884,69933.326884,69933.326899
1789036475.4137,timeline,0,-1,21669,39.0,0.0,40.0,0.144,,,,,69932.43959,69933.308556,69933.329585,69933.329585,69933.329602
1789036475.4124,timeline,2,-1,21671,39.0,0.0,40.0,410.769,,,,,69932.765517,69933.306426,69933.328276,69933.328276,69933.328297
1789036475.4111,timeline,3,-1,21672,39.0,0.0,40.0,833.139,,,,,69933.217787,69933.305422,69933.32705,69933.32705,69933.327067
1789036476.7958,timeline,1,-1,21670,40.0,0.0,41.0,0.102,,,,,69933.327268,69934.61392,69934.70612,69934.70612,69934.71177
1789036476.7958,timeline,2,-1,21671,40.0,0.0,41.0,0.147,,,,,69933.328818,69934.615598,69934.706143,69934.706143,69934.711764
1789036476.7999,timeline,0,-1,21669,40.0,0.0,41.0,0.159,,,,,69933.330098,69934.616064,69934.706113,69934.706113,69934.715806
1789036476.7959,timeline,3,-1,21672,40.0,0.0,41.0,1197.916,,,,,69934.525225,69934.615446,69934.706118,69934.706118,69934.711812
1789036477.9653,timeline,1,-1,21670,41.0,0.0,42.0,0.103,,,,,69934.712141,69935.617847,69935.881192,69935.881192,69935.881205
1789036478.0099,timeline,2,-1,21671,41.0,0.0,42.0,0.112,,,,,69934.712163,69935.621275,69935.925841,69935.925841,69935.925853
1789036478.0246,timeline,0,-1,21669,41.0,0.0,42.0,0.182,,,,,69934.716136,69935.622323,69935.940533,69935.940533,69935.940571
1789036477.9547,timeline,3,-1,21672,41.0,0.0,42.0,815.186,,,,,69935.52725,69935.619042,69935.870595,69935.870595,69935.870607
1789036479.5158,timeline,1,-1,21670,42.0,0.0,43.0,0.093,,,,,69935.881557,69937.411834,69937.431756,69937.431756,69937.43177
1789036479.5176,timeline,2,-1,21671,42.0,0.0,43.0,0.095,,,,,69935.926237,69937.412309,69937.433489,69937.433489,69937.433505
1789036479.5177,timeline,0,-1,21669,42.0,0.0,43.0,0.231,,,,,69935.941003,69937.412385,69937.433579,69937.433579,69937.433599
