t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036988.4406,collate,3,1,22075,,,,,5.0,1.0,48.479,48.415,,,,,
1789036991.006,collate,3,1,22075,,,,,6.0,1.0,25.165,25.124,,,,,
1789036993.6923,collate,3,1,22075,,,,,7.0,1.0,24.411,24.379,,,,,
1789036996.9378,collate,3,1,22075,,,,,7.0,1.0,82.815,82.603,,,,,
1789036999.1368,collate,3,1,22075,,,,,6.0,1.0,47.183,47.082,,,,,
1789037001.6745,collate,3,1,22075,,,,,6.0,1.0,40.558,40.493,,,,,
1789037004.1137,collate,3,1,22075,,,,,5.0,1.0,36.724,36.487,,,,,
1789037006.611,collate,3,1,22075,,,,,6.0,1.0,74.736,74.581,,,,,
1789037009.616,collate,3,1,22075,,,,,7.0,1.0,168.858,168.318,,,,,
1789037012.3269,collate,3,1,22075,,,,,6.0,1.0,138.201,137.924,,,,,
1789037015.1388,collate,3,1,22075,,,,,7.0,1.0,37.091,37.025,,,,,
1789037017.9763,collate,3,1,22075,,,,,7.0,1.0,57.753,57.521,,,,,
1789037020.3449,collate,3,1,22075,,,,,5.0,1.0,120.087,119.881,,,,,
1789037023.1067,collate,3,1,22075,,,,,6.0,1.0,91.918,91.793,,,,,
1789037025.331,collate,3,1,22075,,,,,5.0,1.0,49.208,49.141,,,,,
1789037027.8327,collate,3,1,22075,,,,,7.0,1.0,35.881,35.815,,,,,
1789037029.8858,collate,3,1,22075,,,,,5.0,1.0,46.056,45.978,,,,,
1789037032.6906,collate,3,1,22075,,,,,8.0,1.0,36.846,36.753,,,,,
1789037035.029,collate,3,1,22075,,,,,6.0,1.0,26.745,26.698,,,,,
1789037037.6976,collate,3,1,22075,,,,,7.0,1.0,25.327,25.295,,,,,
1789037040.4312,collate,3,1,22075,,,,,7.0,1.0,34.561,34.51,,,,,
1789037043.0999,collate,3,1,22075,,,,,6.0,1.0,29.715,29.664,,,,,
1789037045.6448,collate,3,1,22075,,,,,7.0,1.0,39.938,39.821,,,,,
1789037047.7585,collate,3,1,22075,,,,,4.0,1.0,158.255,158.014,,,,,
1789037050.6546,collate,3,1,22075,,,,,8.0,1.0,35.782,35.674,,,,,
1789037053.1993,collate,3,1,22075,,,,,5.0,1.0,31.826,31.776,,,,,
1789037055.3803,collate,3,1,22075,,,,,5.0,1.0,33.209,33.164,,,,,
1789037058.2652,collate,3,1,22075,,,,,8.0,1.0,36.918,36.875,,,,,
1789037060.6309,collate,3,1,22075,,,,,6.0,1.0,55.055,54.897,,,,,
1789037063.0075,collate,3,1,22075,,,,,6.0,1.0,39.248,39.179,,,,,
1789037065.9268,collate,3,1,22075,,,,,7.0,1.0,27.288,27.229,,,,,
1789037068.5182,collate,3,1,22075,,,,,7.0,1.0,24.622,24.594,,,,,
